case_id,file,sha256,legacy_declared_sha256,archive_member_sha256
case_CL120_EHR_001,case_CL120_EHR_001.json,45fcee62994faed73ffc1d6a36eabce38767e93a2fa4f2da2be33f5a19832d35,29d7a06f96b6015890b67be4f82b702a85b3182ac57c5d5431efabd63d99276f,45fcee62994faed73ffc1d6a36eabce38767e93a2fa4f2da2be33f5a19832d35
case_CL120_EHR_002,case_CL120_EHR_002.json,81fb45dc7a00f95acc71ec7b7a98c84106d93283fa998b6aac53731c6426a931,866ee331363af96122ff6f0ff7f388b1919d15eb0c5b3c5be342523c86f7ea0c,81fb45dc7a00f95acc71ec7b7a98c84106d93283fa998b6aac53731c6426a931
case_CL120_EHR_003,case_CL120_EHR_003.json,c316c350283ed91ec632fbd99218fba0dcd6c8d386b700f098ae9692d5a16b5c,190ef7b5f98188d0549737457459762a72c4480214dbbc04dd5d54749cf66dd8,c316c350283ed91ec632fbd99218fba0dcd6c8d386b700f098ae9692d5a16b5c
case_CL120_EHR_004,case_CL120_EHR_004.json,e0ff3071314fd098095765ec1dc922bd8fc4e387a09392aee183165bb80df89d,a115837635c0f6ee1dfeb55f7e50351e708970cf8fb91d9e3b869e726d8749ee,e0ff3071314fd098095765ec1dc922bd8fc4e387a09392aee183165bb80df89d
case_CL120_EHR_005,case_CL120_EHR_005.json,49b70bda271cae87847ca35a6d2987d201a11714f42df291a744c39ee09a9e0e,5f1b3a4eaf53fdc06ba78bfc33a2c81139feb21a65e0e98fb46335dd944ca14f,49b70bda271cae87847ca35a6d2987d201a11714f42df291a744c39ee09a9e0e
case_CL120_EHR_006,case_CL120_EHR_006.json,180aa1345a8d8a29047c237e2ddef8a9d737274c5910748dc5e9818075c96a8c,2c799d758bf8227b5fdf6b7f80efbb083a981b8d02ce68b5457a4c63b8d24e0b,180aa1345a8d8a29047c237e2ddef8a9d737274c5910748dc5e9818075c96a8c
case_CL120_EHR_007,case_CL120_EHR_007.json,e15ba645b73724983f250dde7076468f87ff4c9a8e258abde5daca4d5820f000,6e0d1ec463c334f989e01333f97a15b3ca4dd9a202459130b8cf028097f9dc88,e15ba645b73724983f250dde7076468f87ff4c9a8e258abde5daca4d5820f000
case_CL120_EHR_008,case_CL120_EHR_008.json,c5763c9d18ccdc821e09e606c53033c6f000614d0658735cdbe2bd25407841e3,8622fbdea8cf8f633ed8949cdc8c459696a5c3c012ee0165bd6b812e466647e3,c5763c9d18ccdc821e09e606c53033c6f000614d0658735cdbe2bd25407841e3
case_CL120_EHR_009,case_CL120_EHR_009.json,b698c1c18e0ec2b155eee14974e539374577f089cb898a949ad9cd52e7a38674,a279b567545e4468b4063e2297370620eb7675dfe93b4b6b987253e7903d04ab,b698c1c18e0ec2b155eee14974e539374577f089cb898a949ad9cd52e7a38674
case_CL120_EHR_010,case_CL120_EHR_010.json,e185a4943826237c833eef8184175761b8f8765322199dd997ef66b3bd1acb3c,0fb42983fd5b9f9205368e68c3aa2261aff3dcf4f6ba44aeb4977c617f851776,e185a4943826237c833eef8184175761b8f8765322199dd997ef66b3bd1acb3c
case_CL120_EHR_011,case_CL120_EHR_011.json,997ff6d17a3980cac10430de7cbe1fc1fa8385758906db68a55f195a88be06ba,435ff23517cfda4100dbe0c6176883177cd1033b1a1a95af767b726088336ed3,997ff6d17a3980cac10430de7cbe1fc1fa8385758906db68a55f195a88be06ba
case_CL120_EHR_012,case_CL120_EHR_012.json,3ab01f7749f9c933d1eb2a5d1b35addb73331233962c887ab1607e0af72cadfc,5abc90acb1b70f8c7a2a8996ae561d67593eda4e52d7a11ee9008393c7ad1108,3ab01f7749f9c933d1eb2a5d1b35addb73331233962c887ab1607e0af72cadfc
case_CL120_EHR_013,case_CL120_EHR_013.json,7b4bb9cfbe3932ca4dcb0eaf5b9ff9a1e7b040892850ce52b96b636c9f70c7a2,f9c3f2ae3d5d2cc21ebc938ab3d1c95d7bb1e51d92bc582e98739e829584f978,7b4bb9cfbe3932ca4dcb0eaf5b9ff9a1e7b040892850ce52b96b636c9f70c7a2
case_CL120_EHR_014,case_CL120_EHR_014.json,b3627620a8818e93ccf12728d10fc02a9905657467357373719f2d972b08003a,ddaba7a0d0b6132cdbc4afbab816161ccaafee968deb2ccca31ec1b3638375d8,b3627620a8818e93ccf12728d10fc02a9905657467357373719f2d972b08003a
case_CL120_EHR_015,case_CL120_EHR_015.json,ae429708cd63c28416853a289bdb6fa19997d78c934db57cdbd80a989b41effa,3f47d19d1c4ae84d576a459ac73655b915948fd1c7005aa56a597467e502f125,ae429708cd63c28416853a289bdb6fa19997d78c934db57cdbd80a989b41effa
case_CL120_EHR_016,case_CL120_EHR_016.json,be1dcd3ec536911c8d2452ad060985d7f5e489bf9d37b0fd31e7f4583b19059c,2e33ccacfb896a669dc627cb33040b7031965ae0828293338052524e1c0d13b4,be1dcd3ec536911c8d2452ad060985d7f5e489bf9d37b0fd31e7f4583b19059c
case_CL120_EHR_017,case_CL120_EHR_017.json,a994b6a5fcbda5505cce9de4cb05bbd4378228a22fef5e485b46bf381704eb6d,60aac382dad49a814c353a77e4188e64daf0cf24af788fb333edeb23df1022d6,a994b6a5fcbda5505cce9de4cb05bbd4378228a22fef5e485b46bf381704eb6d
case_CL120_EHR_018,case_CL120_EHR_018.json,568b97d368116b45993d607a9ab1c0059d0e389647d56dffd8d1ac91fef91967,5137746e41df7f4cead06235027ccc70466a07e2a89db313c11e425d3469300b,568b97d368116b45993d607a9ab1c0059d0e389647d56dffd8d1ac91fef91967
case_CL120_EHR_019,case_CL120_EHR_019.json,8c287365f08920e533f1ba459dec968736258654a68dd98b322f1749501aa1e2,9041db27a3fb319b4bef8b011b6c1259e3f5c968d74d84a1f1c3fa5fe0c0db3c,8c287365f08920e533f1ba459dec968736258654a68dd98b322f1749501aa1e2
case_CL120_EHR_020,case_CL120_EHR_020.json,0ff3b6fdbe1aac502c7ccfa7a64925df010ae8af24324e8996759d02f971eb3e,2ec7fd5eb86e15b0e67c1c3554610f8753edcda78ac59cd00fdb5bbc2d10b946,0ff3b6fdbe1aac502c7ccfa7a64925df010ae8af24324e8996759d02f971eb3e
case_CL120_EHR_021,case_CL120_EHR_021.json,7b177b7b038ddb989593ec3bda81524ca511cfc0df6e732f53c33717bcf2809d,e64b4f4443f91055999278e10ef35eebf45fa6ee694b3487e1d3cb87459ca606,7b177b7b038ddb989593ec3bda81524ca511cfc0df6e732f53c33717bcf2809d
case_CL120_EHR_022,case_CL120_EHR_022.json,1e2173978d31e053bf2513a502cfc4456b4c68bb72b97592d72ed60ddac05174,5bbe48572549223d5af41eb45797cce180a3d3aa0cda183927581db17bb43279,1e2173978d31e053bf2513a502cfc4456b4c68bb72b97592d72ed60ddac05174
case_CL120_EHR_023,case_CL120_EHR_023.json,de9a374446c2c0f1cec6141943290f254f9472bd6b940f6048efab69f0712a88,3e53f60a5f8a4676fbf76570d7833670bf3596e3e9ef78e1adf6238fb7a5e9b0,de9a374446c2c0f1cec6141943290f254f9472bd6b940f6048efab69f0712a88
case_CL120_EHR_024,case_CL120_EHR_024.json,5502ac84cc450ad9d53e75b0317b53fa72c71ad25f151aa15852184874df1307,ab0de33201d3b90e4178ff1515afa824db7e889867c789c8d77ded359d1ba103,5502ac84cc450ad9d53e75b0317b53fa72c71ad25f151aa15852184874df1307
case_CL120_EHR_025,case_CL120_EHR_025.json,82ca356b5bb9ce4a12ad3485331f2b2f220b48090624e2b7dcd520953b0dd230,548c7297ddd9fabf8c934cf656a8ed7ea9ff2f96fbf958dc9aafbf4f65364b65,82ca356b5bb9ce4a12ad3485331f2b2f220b48090624e2b7dcd520953b0dd230
case_CL120_EHR_026,case_CL120_EHR_026.json,3088434ac96acb8fa135e59d2ade4dc1168d86dca0a547c697067a96a5c005cf,07cdfc5ca00b2d233e8deb1c29302edb2f057e43b80a5be1d8a43f75d975072f,3088434ac96acb8fa135e59d2ade4dc1168d86dca0a547c697067a96a5c005cf
case_CL120_EHR_027,case_CL120_EHR_027.json,672fb14046d18883a20abfaa8d9fa1a84a3dc01341bbf1659fdd66727ef7b05f,af97eb1e9c5e3d8f2ebd2777902f429e9c10b8fd13e2ed23f8868e05901b7cd7,672fb14046d18883a20abfaa8d9fa1a84a3dc01341bbf1659fdd66727ef7b05f
case_CL120_EHR_028,case_CL120_EHR_028.json,aec1798e9e713147b5702c3eb29137138d01fbafbfd6efd19eb570879f3de6ee,bf7762cafcb2b4e5bf49015ae60e5df749ef67a4bfa675b9cc5438ece864632a,aec1798e9e713147b5702c3eb29137138d01fbafbfd6efd19eb570879f3de6ee
case_CL120_EHR_029,case_CL120_EHR_029.json,df3fa9a0845fc203a780a890a9423ca656476d3137a9af4c07e18d0825f4eab3,9eec8988b086226559b8c4e0ac54356cc4131beca5ea0640032e170384357688,df3fa9a0845fc203a780a890a9423ca656476d3137a9af4c07e18d0825f4eab3
case_CL120_EHR_030,case_CL120_EHR_030.json,f5a40bb311ba6d9ef2436b1d978d73ba619b76fc3221fdd679e400e61fb48f07,90084fbeb04aeedd88349f18539bd3ed5519551fe1cad60bc2d8b7f1b415b63e,f5a40bb311ba6d9ef2436b1d978d73ba619b76fc3221fdd679e400e61fb48f07
case_CL120_EHR_031,case_CL120_EHR_031.json,4fec945dc9f5ea1e21e6f4ab40fa2bcdfbb385ef64d596257ab422b9e0054544,8e8a8a5aa543d9c5e58a03bafd010e9fb8e539213f5a4792e0679420ca5a2fa2,4fec945dc9f5ea1e21e6f4ab40fa2bcdfbb385ef64d596257ab422b9e0054544
case_CL120_EHR_032,case_CL120_EHR_032.json,ea66c55232f92dfad2e4933e34bd36b8bd3c704e10be2b7408abd53fcd21d554,ce9fcb3c7eb2f03bfb7d116f7c7c091c909f3aae1be91d0bd0aa22795eac04de,ea66c55232f92dfad2e4933e34bd36b8bd3c704e10be2b7408abd53fcd21d554
case_CL120_EHR_033,case_CL120_EHR_033.json,6c8bdea7c23295029fb56d8b8bc0c5c1c1f505d0eb20f77046421765c4069af6,f5f4ce7c55a8ed5fa4bffc5bd5d18de7aa351f772bd6056d92a25de5bc4dda05,6c8bdea7c23295029fb56d8b8bc0c5c1c1f505d0eb20f77046421765c4069af6
case_CL120_EHR_034,case_CL120_EHR_034.json,3c4aff97a049e011157cd94292407a7c4bf97bb940572911b30c15b90a7fbe23,1dce3b6aa4294ea146bd9f22b9aa1acc8c2da0b8ab9d6ffb9b0cfeb0f93d0498,3c4aff97a049e011157cd94292407a7c4bf97bb940572911b30c15b90a7fbe23
case_CL120_EHR_035,case_CL120_EHR_035.json,315f9ee279fde2bdd8dd33330f3655ca9d7367b0358d0729326885d015709944,768a1d4d4cec7b4963f51e68235b72e13d45f66e04a2306cab112a69d1f41ff4,315f9ee279fde2bdd8dd33330f3655ca9d7367b0358d0729326885d015709944
case_CL120_EHR_036,case_CL120_EHR_036.json,b38271ba289c2027a090cbe679d1a61137db327bfdb28d3818b2c96825ee90da,4d1dcf74adff98633f8ec5351df69c2f6c9d724fe2429fb0e1ce6a7e4b7fc26b,b38271ba289c2027a090cbe679d1a61137db327bfdb28d3818b2c96825ee90da
case_CL120_EHR_037,case_CL120_EHR_037.json,10b3ef991eab4c7d5aa864ff9fb41b632edd0aa9179e5858178546eddbaf6e8c,843558c137a19c6b1dbb21c95b0f56e1607f3d5e76f1e8c1ce96c662cf47e7e6,10b3ef991eab4c7d5aa864ff9fb41b632edd0aa9179e5858178546eddbaf6e8c
