doctor_model,FCC,C_RWR,clinical_error_gate,safety_gate_penalty
GPT-5.6 Sol,0.8243919861388612,0.7526077864670052,0.918125,0.07178419967185601
GPT-5.4,0.7860013916638916,0.679962981723138,0.8841666666666667,0.10603840994075364
DeepSeek-V4-Pro,0.7829553534659784,0.6207721714292652,0.7985416666666667,0.16218318203671322
Qwen3.8-Max,0.7725444844044844,0.6188294076062826,0.8170833333333333,0.15371507679820184
MiniMax M3,0.7475912984237983,0.5861180384788821,0.7881250000000001,0.16147325994491624
GLM-5,0.7397451805139305,0.5984558811847874,0.81625,0.14128929932914303
DeepSeek-V3.2,0.7383166677766677,0.5681658783230659,0.785,0.17015078945360185
Kimi K2,0.6938555407092907,0.5097956881313132,0.7177083333333333,0.18405985257797752
Doubao-Seed-2.0-lite,0.6511640883422133,0.4705211126026751,0.7079166666666666,0.1806429757395382
Qwen3-30B-A3B-Instruct-2507,0.6450706276362527,0.45023299647574644,0.6902083333333333,0.19483763116050623
