doctor_model,information_repair_contribution,constraint_navigation_contribution,dynamic_reprioritization_contribution,execution_loop_repair_contribution,state_sensitive_communication_contribution,bounded_closure_continuity_contribution,fcc_mean_of_judge_cells,fcc_primary_median4,information_repair_vs_grand,constraint_navigation_vs_grand,dynamic_reprioritization_vs_grand,execution_loop_repair_vs_grand,state_sensitive_communication_vs_grand,bounded_closure_continuity_vs_grand
GPT-5.6 Sol,0.25378485056610056,0.23366800213675215,0.08511817089160839,0.0851526529026529,0.04482268772893773,0.09350712048368298,0.7960534847097347,0.8243919861388612,0.0366877088189588,0.01675511224886228,0.012555649038461542,0.0085290286102786,0.00337695741758242,0.010300040490759249
GPT-5.4,0.23911439255189257,0.22939364108114108,0.08170199331918081,0.07944385475635475,0.043632211538461536,0.08779177905427905,0.7610778723013099,0.7860013916638916,0.02201725080475081,0.012480751193251205,0.009139471466033958,0.0028202304639804443,0.0021864812271062267,0.004584699061355321
DeepSeek-V4-Pro,0.23445573870573874,0.2287134428071928,0.07502271166333666,0.08064141414141415,0.04412545787545787,0.08938810678904428,0.7523468719821845,0.7829553534659784,0.017358596958596983,0.011800552919302931,0.0024601898101898056,0.004017789849039846,0.002679727564102563,0.006181026796120551
Qwen3.8-Max,0.2266472485847486,0.2223535631035631,0.07497401816933066,0.07796715090465091,0.043922847985347985,0.08710811438561437,0.7329729431332556,0.7725444844044844,0.009550106837606848,0.005440673215673236,0.0024114963161838143,0.001343526612276602,0.002477117673992675,0.0039010343926906416
MiniMax M3,0.2275939407814408,0.21646073024198026,0.07412693556443557,0.0740253774003774,0.04447504578754579,0.08039026848151848,0.7170722982572982,0.7475912984237983,0.010496799034299037,-0.0004521596459096111,0.001564413711288723,-0.0025982468919969054,0.0030293154761904806,-0.002816811511405254
GLM-5,0.2155604811854812,0.22274839743589742,0.07222003777472527,0.07986463536463537,0.04075869963369963,0.08495725357975357,0.7161095049741925,0.7397451805139305,-0.0015366605616605467,0.005835507548007546,-0.0003424840784215788,0.0032410110722610602,-0.0006870306776556798,0.0017501735868298424
DeepSeek-V3.2,0.21135246003996006,0.2193522761960262,0.06955400849150849,0.07653805222555224,0.04086744505494506,0.07982910048285048,0.6974933424908425,0.7383166677766677,-0.005744681707181704,0.0024393863081363376,-0.0030085133616383625,-8.557206682206775e-05,-0.000578285256410252,-0.0033779795100732507
Kimi K2,0.20113282897657897,0.21098437673437676,0.06783934815184815,0.07093086774336775,0.03841082875457876,0.0790399719030969,0.6683382222638472,0.6938555407092907,-0.01596431277056279,-0.005928513153513115,-0.004723173701298697,-0.005692756549006556,-0.003034901556776548,-0.004167108089826829
Doubao-Seed-2.0-lite,0.1785625346875347,0.19711692474192474,0.06327291458541458,0.0739731240981241,0.037589514652014655,0.07513959883866134,0.6256546116036741,0.6511640883422133,-0.03853460705960707,-0.019795965145965128,-0.009289607267732272,-0.002650500194250213,-0.0038562156593406546,-0.008067481154262396
Qwen3-30B-A3B-Instruct-2507,0.18276694139194138,0.1883375444000444,0.06179507992007992,0.06769911338661339,0.035852564102564106,0.07491948593073593,0.6113707291319791,0.6450706276362527,-0.034330200355200374,-0.02857534548784546,-0.010767441933066932,-0.008924510905760921,-0.005593166208791203,-0.008287594062187806
