primary_friction,caregiver_conflict_or_fatigue,cost_transport_or_work_barrier,delayed_or_staged_result_return,document_or_image_quality_problem,external_system_gap,incomplete_patient_information,low_adherence_or_refusal,medication_confusion_or_execution_failure,misstated_family_or_patient_information,privacy_stigma_or_sensitive_history
caregiver_conflict_or_fatigue,1.0,0.5757575757575758,0.7696969696969697,0.7333333333333333,0.7575757575757576,0.6363636363636364,0.6848484848484848,0.6848484848484848,0.6727272727272727,0.7575757575757576
cost_transport_or_work_barrier,0.5757575757575758,1.0,0.793939393939394,0.8787878787878788,0.7454545454545455,0.8181818181818182,0.793939393939394,0.8303030303030303,0.793939393939394,0.38181818181818183
delayed_or_staged_result_return,0.7696969696969697,0.793939393939394,1.0,0.8303030303030303,0.9030303030303031,0.7454545454545455,0.793939393939394,0.8909090909090909,0.6727272727272727,0.6242424242424243
document_or_image_quality_problem,0.7333333333333333,0.8787878787878788,0.8303030303030303,1.0,0.793939393939394,0.7090909090909091,0.6727272727272727,0.8424242424242424,0.7696969696969697,0.40606060606060607
external_system_gap,0.7575757575757576,0.7454545454545455,0.9030303030303031,0.793939393939394,1.0,0.7818181818181819,0.793939393939394,0.7454545454545455,0.5636363636363636,0.5393939393939394
incomplete_patient_information,0.6363636363636364,0.8181818181818182,0.7454545454545455,0.7090909090909091,0.7818181818181819,1.0,0.7454545454545455,0.7454545454545455,0.6363636363636364,0.503030303030303
low_adherence_or_refusal,0.6848484848484848,0.793939393939394,0.793939393939394,0.6727272727272727,0.793939393939394,0.7454545454545455,1.0,0.793939393939394,0.696969696969697,0.7212121212121212
medication_confusion_or_execution_failure,0.6848484848484848,0.8303030303030303,0.8909090909090909,0.8424242424242424,0.7454545454545455,0.7454545454545455,0.793939393939394,1.0,0.8666666666666667,0.7090909090909091
misstated_family_or_patient_information,0.6727272727272727,0.793939393939394,0.6727272727272727,0.7696969696969697,0.5636363636363636,0.6363636363636364,0.696969696969697,0.8666666666666667,1.0,0.6606060606060606
privacy_stigma_or_sensitive_history,0.7575757575757576,0.38181818181818183,0.6242424242424243,0.40606060606060607,0.5393939393939394,0.503030303030303,0.7212121212121212,0.7090909090909091,0.6606060606060606,1.0
