doctor_model,judge_ho_assessments,active_action_rate,meaningful_impact_rate,effective_completion_rate,action_to_impact_gap
GPT-5.6 Sol,1621.0,0.9642196175200494,0.8408389882788402,0.7847008019740901,0.12338062924120918
Qwen3.8-Max,1570.0,0.9401273885350319,0.7910828025477707,0.7522292993630574,0.1490445859872611
DeepSeek-V4-Pro,1614.0,0.9560099132589839,0.7936802973977695,0.7465923172242875,0.16232961586121442
GPT-5.4,1610.0,0.9416149068322981,0.7807453416149068,0.7291925465838509,0.16086956521739126
MiniMax M3,1573.0,0.94723458359822,0.768595041322314,0.7132867132867133,0.17863954227590595
DeepSeek-V3.2,1523.0,0.9304005252790545,0.7360472751149048,0.695994747209455,0.19435325016414973
GLM-5,1585.0,0.9318611987381703,0.7337539432176656,0.6832807570977918,0.19810725552050468
Kimi K2,1528.0,0.9201570680628273,0.7015706806282722,0.6590314136125655,0.21858638743455505
Qwen3-30B-A3B-Instruct-2507,1430.0,0.9041958041958041,0.6594405594405595,0.6090909090909091,0.24475524475524468
Doubao-Seed-2.0-lite,1483.0,0.9049224544841538,0.6230613621038436,0.5778826702629805,0.2818610923803102
