metric,n_cases,median_spearman,ci_low,ci_high,top1_recovery,resamples
FCC,5,0.7212121212121211,0.309090909090909,0.9393939393939393,0.466,3000
FCC,10,0.8303030303030302,0.5393939393939393,0.9636363636363635,0.6273333333333333,3000
FCC,20,0.9030303030303028,0.7212121212121211,0.9878787878787878,0.8086666666666666,3000
FCC,30,0.9272727272727272,0.8060606060606059,0.9878787878787878,0.9046666666666666,3000
FCC,60,0.9636363636363635,0.9030303030303028,0.9999999999999999,0.9973333333333333,3000
FCC,90,0.9757575757575757,0.9393939393939393,0.9999999999999999,1.0,3000
FCC,120,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1
C-RWR,5,0.7575757575757575,0.3696969696969697,0.9515151515151514,0.6773333333333333,3000
C-RWR,10,0.8545454545454544,0.6121212121212121,0.9757575757575757,0.853,3000
C-RWR,20,0.9151515151515152,0.7818181818181817,0.9878787878787878,0.9593333333333334,3000
C-RWR,30,0.9393939393939393,0.8303030303030302,0.9878787878787878,0.9913333333333333,3000
C-RWR,60,0.9757575757575757,0.9030303030303028,0.9999999999999999,1.0,3000
C-RWR,90,0.9878787878787878,0.9515151515151514,0.9999999999999999,1.0,3000
C-RWR,120,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1
