packet_id,case_id,doctor_model,terminal_status,premature_votes,valid_open_votes,safe_votes,executable_votes,traceable_votes,friction_capability_composite_median4,careloop_real_world_robustness_median4,closure_process_score_median4
case_CL120_EHR_001__anon_037065201d48441b,case_CL120_EHR_001,MiniMax M3,closed_success,0,0,2,4,4,0.6268,0.4915675,0.78
case_CL120_EHR_001__anon_08e8f50ddc442d2a,case_CL120_EHR_001,DeepSeek-V4-Pro,closed_success,1,0,3,3,4,0.8343750000000001,0.73078125,1.0
case_CL120_EHR_001__anon_3465ccd25b14e88e,case_CL120_EHR_001,GPT-5.4,closed_success,1,0,3,3,4,0.5622499999999999,0.5066875,1.0
case_CL120_EHR_001__anon_34d3ebd3c75fe288,case_CL120_EHR_001,Qwen3.8-Max,closed_success,0,0,4,4,4,0.688125,0.60109375,1.0
case_CL120_EHR_001__anon_3ac26ec9d4445cba,case_CL120_EHR_001,Doubao-Seed-2.0-lite,closed_success,1,0,3,4,4,0.3994999999999999,0.31740625,0.8
case_CL120_EHR_001__anon_65393fdc139bbca4,case_CL120_EHR_001,GPT-5.6 Sol,closed_success,0,0,4,4,4,0.8400000000000001,0.8400000000000001,1.0
case_CL120_EHR_001__anon_76335b0278ad1722,case_CL120_EHR_001,Kimi K2,closed_success,1,2,3,4,4,0.7025,0.433625,1.0
case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,closed_success,0,1,3,2,4,0.5793,0.434475,0.78
case_CL120_EHR_001__anon_eb0367eb696c3ff4,case_CL120_EHR_001,Qwen3-30B-A3B-Instruct-2507,closed_success,1,1,3,3,4,0.486625,0.2415312499999999,1.0
case_CL120_EHR_001__anon_f2fac2cbd42c3e1f,case_CL120_EHR_001,GLM-5,closed_success,0,0,3,4,4,0.6675,0.57015625,0.8800000000000001
case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,closed_success,0,2,4,4,4,0.6499999999999999,0.4874999999999999,1.0
case_CL120_EHR_002__anon_38c9d580c68644c3,case_CL120_EHR_002,Qwen3.8-Max,closed_success,0,0,3,3,3,0.7749999999999999,0.5095833333333333,1.0
case_CL120_EHR_002__anon_425ebf15d3248e97,case_CL120_EHR_002,Kimi K2,closed_success,0,0,4,4,4,0.7958333333333334,0.6916666666666667,1.0
case_CL120_EHR_002__anon_47dc581a11ad55fb,case_CL120_EHR_002,DeepSeek-V4-Pro,closed_success,1,0,3,4,4,0.8125,0.29125,1.0
case_CL120_EHR_002__anon_675367c76a08ffb7,case_CL120_EHR_002,Doubao-Seed-2.0-lite,closed_success,1,0,3,3,4,0.9208333333333332,0.8072916666666666,1.0
case_CL120_EHR_002__anon_721ea269f2d7696b,case_CL120_EHR_002,MiniMax M3,open_at_100,0,4,4,3,4,0.4041666666666667,0.1947916666666666,1.0
case_CL120_EHR_002__anon_7ded34b5c1d728b7,case_CL120_EHR_002,GPT-5.4,closed_success,0,2,3,4,4,0.5208333333333333,0.2689583333333333,1.0
case_CL120_EHR_002__anon_844981f219556782,case_CL120_EHR_002,GPT-5.6 Sol,closed_success,0,0,4,4,4,1.0,1.0,1.0
case_CL120_EHR_002__anon_90068fc2af88369f,case_CL120_EHR_002,Qwen3-30B-A3B-Instruct-2507,closed_success,0,0,3,3,3,0.7249999999999999,0.25375,1.0
case_CL120_EHR_002__anon_b11480da78820b41,case_CL120_EHR_002,GLM-5,closed_success,1,2,3,4,4,0.8208333333333333,0.8208333333333333,1.0
case_CL120_EHR_003__anon_0a2ef7756cff3e47,case_CL120_EHR_003,DeepSeek-V4-Pro,closed_success,1,0,2,2,4,0.7331730769230769,0.4914663461538461,0.68
case_CL120_EHR_003__anon_34d9ef3cf1c6212c,case_CL120_EHR_003,MiniMax M3,closed_success,0,1,4,4,4,0.8865384615384615,0.7877403846153845,1.0
case_CL120_EHR_003__anon_417bdeef8830f46a,case_CL120_EHR_003,GPT-5.6 Sol,closed_success,0,1,3,3,4,1.0,1.0,1.0
case_CL120_EHR_003__anon_424fe0fa0ed287a9,case_CL120_EHR_003,GPT-5.4,closed_success,0,0,4,4,4,0.7769230769230769,0.7769230769230769,1.0
