case_id,n_models,mean_primary_score,median_primary_score,score_std,score_range,mean_turns,max_turns,closed_success_n,open_at_100_n,runtime_error_n,very_low_score_n,high_judge_disagreement_n,closed_but_low_score_n,workspace_underuse_candidate_n,workspace_overuse_candidate_n,long_or_tool_intensive_low_score_n,case_disease_domain,case_target_problem,case_primary_friction
case_CL120_EHR_001,10,2.85,2.5,1.0735455276791945,3.5,10.5,25,10,0,0,5,8,6,2,4,4,cardiovascular,chest_pain_acs_dissection,incomplete_patient_information
case_CL120_EHR_002,10,2.9,2.75,1.374772708486752,4.0,26.5,100,9,1,0,5,7,5,1,2,3,cardiovascular,heart_failure_decompensation,medication_confusion_or_execution_failure
case_CL120_EHR_003,10,3.0,3.0,1.118033988749895,3.5,12.5,30,9,0,1,4,9,5,1,0,0,cardiovascular,atrial_fibrillation_anticoagulation,caregiver_conflict_or_fatigue
case_CL120_EHR_004,10,2.8,2.5,1.0770329614269007,4.0,7,18,10,0,0,6,9,7,2,0,0,dermatology_ent_ophthalmology,cataract_postoperative_medication_and_followup,document_or_image_quality_problem
case_CL120_EHR_005,10,3.65,4.25,1.3238202294873727,3.5,3.5,7,10,0,0,3,8,4,4,0,0,cardiovascular,syncope,delayed_or_staged_result_return
case_CL120_EHR_006,10,3.9,4.5,1.2609520212918492,3.5,6.6,16,10,0,0,2,6,3,3,0,0,cardiovascular,chest_pain_acs_dissection,low_adherence_or_refusal
case_CL120_EHR_007,10,2.6,2.5,0.5385164807134504,2.0,7.7,14,10,0,0,6,10,9,2,3,3,cardiovascular,heart_failure_decompensation,external_system_gap
case_CL120_EHR_008,10,3.6,3.25,0.8,2.5,26.6,69,10,0,0,1,8,5,1,1,2,cardiovascular,atrial_fibrillation_anticoagulation,misstated_family_or_patient_information
case_CL120_EHR_009,10,2.9,3.25,0.7348469228349535,2.0,17.1,27,10,0,0,3,10,5,5,3,3,cardiovascular,hypertension_urgency,cost_transport_or_work_barrier
case_CL120_EHR_010,10,3.95,4.0,0.8789197915623472,2.0,14.3,20,9,0,1,0,10,3,1,1,1,cardiovascular,syncope,privacy_stigma_or_sensitive_history
case_CL120_EHR_011,10,3.7,3.75,1.1445523142259597,4.0,24.7,59,10,0,0,1,8,3,2,1,2,cardiovascular,chest_pain_acs_dissection,incomplete_patient_information
case_CL120_EHR_012,10,3.2,3.25,0.714142842854285,2.5,46.9,100,9,1,0,3,9,5,2,4,6,cardiovascular,heart_failure_decompensation,medication_confusion_or_execution_failure
case_CL120_EHR_013,10,3.6,3.75,1.2409673645990857,3.5,8.9,26,10,0,0,3,10,4,0,0,0,cardiovascular,atrial_fibrillation_anticoagulation,caregiver_conflict_or_fatigue
case_CL120_EHR_014,10,3.1,3.0,1.3190905958272918,4.0,9.7,13,10,0,0,4,9,6,1,2,2,cardiovascular,hypertension_urgency,document_or_image_quality_problem
case_CL120_EHR_015,10,3.65,4.5,1.5660459763365826,4.0,19,30,10,0,0,3,8,4,2,1,1,respiratory,suspected_pulmonary_embolism_result_and_anticoagulation_followup,delayed_or_staged_result_return
case_CL120_EHR_016,10,3.0,3.25,1.0954451150103321,3.0,4.3,6,10,0,0,3,9,5,6,0,0,respiratory,pneumonia,low_adherence_or_refusal
case_CL120_EHR_017,10,4.2,4.25,0.6782329983125268,2.0,45.8,73,10,0,0,0,8,1,0,1,3,respiratory,lung_nodule_mass,external_system_gap
case_CL120_EHR_018,10,2.6,2.5,1.1575836902790226,4.0,17.7,39,10,0,0,5,9,7,1,4,4,respiratory,pulmonary_embolism,misstated_family_or_patient_information
case_CL120_EHR_019,10,3.55,3.25,1.035615758860399,3.0,12.1,26,10,0,0,2,10,5,0,1,1,respiratory,home_oxygen_or_inhaler_execution,cost_transport_or_work_barrier
case_CL120_EHR_020,10,1.9,2.0,0.3,1.0,7.1,35,10,0,0,10,9,10,5,1,1,respiratory,asthma_copd_exacerbation,privacy_stigma_or_sensitive_history
case_CL120_EHR_021,10,3.05,3.0,0.8200609733428362,2.5,70,100,5,5,0,4,10,4,2,5,6,respiratory,pneumonia,incomplete_patient_information
case_CL120_EHR_022,10,1.85,1.5,1.205197079319395,4.0,7.3,11,10,0,0,8,8,9,0,1,1,respiratory,lung_nodule_mass,medication_confusion_or_execution_failure
case_CL120_EHR_023,10,1.9,1.5,0.7348469228349535,2.0,14.4,27,10,0,0,8,9,10,1,1,1,respiratory,pulmonary_embolism,caregiver_conflict_or_fatigue
case_CL120_EHR_024,10,2.6,3.0,1.3379088160259651,4.0,7.1,13,10,0,0,4,7,7,1,0,0,respiratory,home_oxygen_or_inhaler_execution,document_or_image_quality_problem
case_CL120_EHR_025,10,3.4,3.0,1.2409673645990857,4.0,70.2,100,6,3,1,3,9,2,1,2,5,respiratory,asthma_copd_exacerbation,delayed_or_staged_result_return
case_CL120_EHR_026,10,2.8,2.5,1.0535653752852738,3.5,67.3,100,5,5,0,6,9,3,4,3,6,respiratory,pneumonia,low_adherence_or_refusal
case_CL120_EHR_027,10,2.45,2.5,1.2932517156377563,4.0,4.8,9,10,0,0,6,8,8,3,0,0,endocrine_metabolic,diabetes_sick_day,external_system_gap
case_CL120_EHR_028,10,1.9,2.0,0.8306623862918074,2.0,40.7,100,9,1,0,8,8,9,0,7,7,endocrine_metabolic,hypoglycemia,misstated_family_or_patient_information
case_CL120_EHR_029,10,3.8,3.75,1.0295630140987,2.5,36,100,9,1,0,2,9,4,0,1,2,endocrine_metabolic,thyroid_dysfunction,cost_transport_or_work_barrier
case_CL120_EHR_030,10,2.3,2.0,1.0770329614269007,4.0,61.7,100,5,5,0,8,8,4,0,4,6,endocrine_metabolic,steroid_or_insulin_adjustment,privacy_stigma_or_sensitive_history
case_CL120_EHR_031,10,2.6,2.25,1.3564659966250536,4.0,10.1,31,10,0,0,6,10,8,0,0,0,endocrine_metabolic,obesity_sleep_apnea_metabolic_risk,incomplete_patient_information
