case_id,mean_primary_score,median_primary_score,mean_turns_all_records,open_at_100_rate,runtime_error_rate,cross_model_primary_score_population_sd,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,friction_intensity,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level
case_CL120_EHR_001,2.85,2.5,10.5,0,0,1.0735455276791945,6,4,5,light,medium,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_002,2.9,2.75,26.5,0.1,0,1.374772708486752,8,4,7,light,medium,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate
case_CL120_EHR_003,3.0,3.0,12.5,0,0.1,1.118033988749895,8,4,7,light,medium,yes,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate
case_CL120_EHR_004,2.8,2.5,7,0,0,1.0770329614269007,7,4,7,light,medium,maybe,True,3,5,5,1,moderate,2,high,0,low,1,moderate,2,high,6,moderate
case_CL120_EHR_005,3.65,4.25,3.5,0,0,1.3238202294873727,8,4,8,light,short,yes,False,3,5,5,2,high,2,high,0,low,0,low,1,moderate,5,moderate
case_CL120_EHR_006,3.9,4.5,6.6,0,0,1.2609520212918492,7,4,7,light,short,yes,False,3,5,5,1,moderate,2,high,0,low,0,low,1,moderate,4,moderate
case_CL120_EHR_007,2.6,2.5,7.7,0,0,0.5385164807134504,8,4,7,moderate,medium,maybe,True,2,4,4,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_008,3.6,3.25,26.6,0,0,0.8,8,4,6,moderate,medium,maybe,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_009,2.9,3.25,17.1,0,0,0.7348469228349535,7,4,5,moderate,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_010,3.95,4.0,14.3,0,0.1,0.8789197915623472,8,4,7,moderate,medium,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_011,3.7,3.75,24.7,0,0,1.1445523142259597,8,4,6,moderate,medium,yes,False,2,4,5,2,high,1,moderate,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_012,3.2,3.25,46.9,0.1,0,0.714142842854285,8,4,7,moderate,medium,maybe,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_013,3.6,3.75,8.9,0,0,1.2409673645990857,8,4,6,moderate,medium,maybe,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_014,3.1,3.0,9.7,0,0,1.3190905958272918,7,4,8,moderate,medium,yes,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_015,3.65,4.5,19,0,0,1.5660459763365826,8,4,7,heavy,long,maybe,True,3,5,5,2,high,2,high,2,high,2,high,2,high,10,high
