dimension_type,burden_level,n_cases,n_trajectories,mean_primary_score,median_primary_score,strong_or_above_rate,mean_turns,closed_success_rate,open_at_100_rate,runtime_error_rate
responsibility_chain_burden,low,24,240,3.0416666666666665,3.0,0.20416666666666666,18.6625,0.9458333333333333,0.029166666666666667,0.025
responsibility_chain_burden,moderate,52,520,2.9375,3.0,0.24423076923076922,21.838461538461537,0.9192307692307692,0.05961538461538462,0.021153846153846155
responsibility_chain_burden,high,44,440,3.0488636363636363,3.0,0.2863636363636364,22.884090909090908,0.9113636363636364,0.04090909090909091,0.04772727272727273
evidence_integration_burden,low,68,680,3.026470588235294,3.0,0.2235294117647059,20.001470588235293,0.9411764705882353,0.03676470588235294,0.022058823529411766
evidence_integration_burden,moderate,13,130,2.9692307692307693,3.0,0.27692307692307694,27.9,0.9,0.05384615384615385,0.046153846153846156
evidence_integration_burden,high,39,390,2.9615384615384617,3.0,0.2923076923076923,22.246153846153845,0.8948717948717949,0.06153846153846154,0.04358974358974359
friction_burden,low,38,380,3.0,3.0,0.2657894736842105,16.976315789473684,0.9473684210526315,0.02631578947368421,0.02631578947368421
friction_burden,moderate,60,600,2.9458333333333333,3.0,0.23166666666666666,21.913333333333334,0.9183333333333333,0.055,0.02666666666666667
friction_burden,high,22,220,3.143181818181818,3.5,0.2818181818181818,28.65909090909091,0.8863636363636364,0.05909090909090909,0.05454545454545454
temporal_burden,low,7,70,3.192857142857143,3.0,0.3,9.457142857142857,1.0,0.0,0.0
temporal_burden,moderate,91,910,2.9494505494505496,3.0,0.24065934065934066,20.80989010989011,0.9241758241758242,0.04725274725274725,0.02857142857142857
temporal_burden,high,22,220,3.143181818181818,3.5,0.2818181818181818,28.65909090909091,0.8863636363636364,0.05909090909090909,0.05454545454545454
closure_coordination_burden,low,16,160,3.075,3.0,0.28125,18.20625,0.94375,0.025,0.03125
closure_coordination_burden,moderate,87,870,2.9442528735632183,3.0,0.23793103448275862,22.150574712643678,0.9183908045977012,0.04827586206896552,0.03333333333333333
closure_coordination_burden,high,17,170,3.208823529411765,3.0,0.29411764705882354,21.88235294117647,0.9176470588235294,0.058823529411764705,0.023529411764705882
exploratory_contract_complexity,low,28,280,2.9535714285714287,3.0,0.21071428571428572,16.539285714285715,0.9535714285714286,0.02857142857142857,0.017857142857142856
exploratory_contract_complexity,moderate,70,700,3.0021428571428572,3.0,0.2571428571428571,20.765714285714285,0.9357142857142857,0.04285714285714286,0.02142857142857143
exploratory_contract_complexity,high,22,220,3.047727272727273,3.0,0.2863636363636364,30.62272727272727,0.8363636363636363,0.08181818181818182,0.08181818181818182
