predictor,outcome,n_cases,spearman_rho,spearman_rho_ci95_low,spearman_rho_ci95_high,kendall_tau_b,kendall_tau_b_ci95_low,kendall_tau_b_ci95_high
responsibility_chain_burden_score,case_mean_primary_score,120,0.06118628808799038,-0.13310709410228144,0.2476258027780388,0.04650108365345886,-0.11021677590577596,0.1976304800662779
responsibility_chain_burden_score,case_mean_turns,120,0.10270726914995432,-0.07260101855828036,0.2643018264506303,0.07785233075542061,-0.05545907040286995,0.20456469973267616
responsibility_chain_burden_score,case_open_at_100_rate,120,0.020626884809444898,-0.15462458004557744,0.18918419827992386,0.018556785555597914,-0.14182592232378943,0.1725238580683611
responsibility_chain_burden_score,cross_model_primary_score_population_sd,120,-0.01636578561740937,-0.19125933704057982,0.15774423511614677,-0.01154663781990508,-0.1457464426609594,0.12278609738718317
evidence_integration_burden_score,case_mean_primary_score,120,-0.02684892119115094,-0.20781985351764196,0.15578077658781903,-0.021858199401621876,-0.16787135456864938,0.12487120831469012
evidence_integration_burden_score,case_mean_turns,120,0.04089818030883217,-0.1449625069151247,0.2259084055536206,0.033187969280863615,-0.11526064850223772,0.1809626133684122
evidence_integration_burden_score,case_open_at_100_rate,120,0.0695542608288893,-0.11039401388246851,0.25367801211720936,0.06466637091390322,-0.10337100275704059,0.23680607856701966
evidence_integration_burden_score,cross_model_primary_score_population_sd,120,0.24584403881495323,0.05757587388003085,0.4249751079430357,0.19950071421642734,0.04992875492014753,0.34304960593606115
friction_burden_score,case_mean_primary_score,120,0.047293983415390144,-0.1353814501688901,0.22930412093472083,0.03813716072700103,-0.10641447534662996,0.18242631722947844
friction_burden_score,case_mean_turns,120,0.28760572098657416,0.11433079274866677,0.4426149958418073,0.2265923182652457,0.09114407411454574,0.3518849488850368
friction_burden_score,case_open_at_100_rate,120,0.15532239841434528,-0.012822893213722444,0.3156135550800875,0.14235115004953947,-0.011852631457106952,0.28927778424379735
friction_burden_score,cross_model_primary_score_population_sd,120,-0.017910567067461546,-0.186902789448247,0.15388405802002442,-0.014417892992525454,-0.14485773634585025,0.11866712296421944
temporal_burden_score,case_mean_primary_score,120,0.05115140792463658,-0.1214472766571968,0.22365987216724634,0.0410347103239078,-0.09820963967040083,0.18147209212830495
temporal_burden_score,case_mean_turns,120,0.33660225589900056,0.16734380824850353,0.4851042842661549,0.27659234511276237,0.13773329079073868,0.4019216638962517
temporal_burden_score,case_open_at_100_rate,120,0.12411104137432721,-0.04264343724818411,0.2978150549117315,0.1170817931644303,-0.04080684549677266,0.2813863984908006
temporal_burden_score,cross_model_primary_score_population_sd,120,0.0042668734512750295,-0.17832665741354256,0.18932544944684518,0.00381351976230086,-0.1446079517046757,0.1536208451237693
closure_coordination_burden_score,case_mean_primary_score,120,0.056453991968402575,-0.11303128745074724,0.22200638208384027,0.04829970893223593,-0.08544843672070573,0.1804622860541052
closure_coordination_burden_score,case_mean_turns,120,0.02348861285752682,-0.1519302599682553,0.20230318846852,0.021569522406760258,-0.11929615713733752,0.16394734324746457
closure_coordination_burden_score,case_open_at_100_rate,120,0.0022035995335794767,-0.15992522087119893,0.16666821844573146,0.002136201418597562,-0.1519328233687395,0.157967271117484
closure_coordination_burden_score,cross_model_primary_score_population_sd,120,-0.04491153278580956,-0.22657143653952275,0.13835334089297693,-0.0338345449517808,-0.17825386622312614,0.11174352635802152
contract_complexity_index,case_mean_primary_score,120,0.046533200764330464,-0.1251126894162311,0.22012002442607717,0.032046171390505855,-0.0901398177812923,0.15681390029600634
contract_complexity_index,case_mean_turns,120,0.24271836220718182,0.06701259984952125,0.40438931361060926,0.17735713268604966,0.050512279808882295,0.2974932820142965
contract_complexity_index,case_open_at_100_rate,120,0.11171279340590562,-0.07706979172403683,0.2920223502659936,0.09297926803141672,-0.06783218764230088,0.24654269471172163
contract_complexity_index,cross_model_primary_score_population_sd,120,0.09664199985385843,-0.08255981904561925,0.2777243261806453,0.06554172910211588,-0.062238490043764895,0.19813820436906932
