doctor_model,failure_flag,n_trajectories,flag_count,flag_rate
DeepSeek-V3.2,low_score,120,69,0.575
DeepSeek-V3.2,very_low_score,120,51,0.425
DeepSeek-V3.2,below_strong,120,98,0.8166666666666667
DeepSeek-V3.2,high_turn,120,14,0.11666666666666667
DeepSeek-V3.2,very_high_turn,120,7,0.058333333333333334
DeepSeek-V3.2,no_workspace,120,0,0.0
DeepSeek-V3.2,sparse_workspace,120,5,0.041666666666666664
DeepSeek-V3.2,heavy_workspace,120,61,0.5083333333333333
DeepSeek-V3.2,high_judge_disagreement,120,111,0.925
DeepSeek-V3.2,workspace_underuse_candidate,120,5,0.041666666666666664
DeepSeek-V3.2,workspace_overuse_candidate,120,45,0.375
DeepSeek-V3.2,long_or_tool_intensive_low_score,120,45,0.375
DeepSeek-V3.2,closed_but_low_score,120,63,0.525
DeepSeek-V3.2,model_specific_weakness,120,26,0.21666666666666667
DeepSeek-V3.2,serious_error_any_judge,120,76,0.6333333333333333
DeepSeek-V3.2,minor_or_moderate_error_any_judge,120,114,0.95
DeepSeek-V3.2,important_non_chain_defect_any_judge,120,49,0.4083333333333333
DeepSeek-V4-Pro,low_score,120,70,0.5833333333333334
DeepSeek-V4-Pro,very_low_score,120,43,0.35833333333333334
DeepSeek-V4-Pro,below_strong,120,88,0.7333333333333333
DeepSeek-V4-Pro,high_turn,120,19,0.15833333333333333
DeepSeek-V4-Pro,very_high_turn,120,7,0.058333333333333334
DeepSeek-V4-Pro,no_workspace,120,0,0.0
DeepSeek-V4-Pro,sparse_workspace,120,2,0.016666666666666666
DeepSeek-V4-Pro,heavy_workspace,120,70,0.5833333333333334
DeepSeek-V4-Pro,high_judge_disagreement,120,113,0.9416666666666667
DeepSeek-V4-Pro,workspace_underuse_candidate,120,2,0.016666666666666666
DeepSeek-V4-Pro,workspace_overuse_candidate,120,47,0.39166666666666666
DeepSeek-V4-Pro,long_or_tool_intensive_low_score,120,47,0.39166666666666666
DeepSeek-V4-Pro,closed_but_low_score,120,62,0.5166666666666667
DeepSeek-V4-Pro,model_specific_weakness,120,17,0.14166666666666666
DeepSeek-V4-Pro,serious_error_any_judge,120,79,0.6583333333333333
DeepSeek-V4-Pro,minor_or_moderate_error_any_judge,120,108,0.9
DeepSeek-V4-Pro,important_non_chain_defect_any_judge,120,39,0.325
Doubao-Seed-2.0-lite,low_score,120,96,0.8
Doubao-Seed-2.0-lite,very_low_score,120,72,0.6
Doubao-Seed-2.0-lite,below_strong,120,110,0.9166666666666666
Doubao-Seed-2.0-lite,high_turn,120,8,0.06666666666666667
Doubao-Seed-2.0-lite,very_high_turn,120,2,0.016666666666666666
Doubao-Seed-2.0-lite,no_workspace,120,1,0.008333333333333333
Doubao-Seed-2.0-lite,sparse_workspace,120,44,0.36666666666666664
Doubao-Seed-2.0-lite,heavy_workspace,120,0,0.0
Doubao-Seed-2.0-lite,high_judge_disagreement,120,106,0.8833333333333333
Doubao-Seed-2.0-lite,workspace_underuse_candidate,120,39,0.325
Doubao-Seed-2.0-lite,workspace_overuse_candidate,120,0,0.0
Doubao-Seed-2.0-lite,long_or_tool_intensive_low_score,120,6,0.05
Doubao-Seed-2.0-lite,closed_but_low_score,120,94,0.7833333333333333
Doubao-Seed-2.0-lite,model_specific_weakness,120,46,0.38333333333333336
Doubao-Seed-2.0-lite,serious_error_any_judge,120,88,0.7333333333333333
Doubao-Seed-2.0-lite,minor_or_moderate_error_any_judge,120,112,0.9333333333333333
Doubao-Seed-2.0-lite,important_non_chain_defect_any_judge,120,64,0.5333333333333333
GLM-5,low_score,120,63,0.525
GLM-5,very_low_score,120,44,0.36666666666666664
GLM-5,below_strong,120,89,0.7416666666666667
GLM-5,high_turn,120,6,0.05
GLM-5,very_high_turn,120,2,0.016666666666666666
GLM-5,no_workspace,120,0,0.0
GLM-5,sparse_workspace,120,1,0.008333333333333333
GLM-5,heavy_workspace,120,61,0.5083333333333333
GLM-5,high_judge_disagreement,120,113,0.9416666666666667
GLM-5,workspace_underuse_candidate,120,1,0.008333333333333333
GLM-5,workspace_overuse_candidate,120,41,0.3416666666666667
GLM-5,long_or_tool_intensive_low_score,120,41,0.3416666666666667
GLM-5,closed_but_low_score,120,60,0.5
GLM-5,model_specific_weakness,120,18,0.15
GLM-5,serious_error_any_judge,120,76,0.6333333333333333
GLM-5,minor_or_moderate_error_any_judge,120,107,0.8916666666666667
GLM-5,important_non_chain_defect_any_judge,120,40,0.3333333333333333
GPT-5.4,low_score,120,45,0.375
GPT-5.4,very_low_score,120,27,0.225
GPT-5.4,below_strong,120,73,0.6083333333333333
GPT-5.4,high_turn,120,15,0.125
GPT-5.4,very_high_turn,120,8,0.06666666666666667
GPT-5.4,no_workspace,120,27,0.225
GPT-5.4,sparse_workspace,120,75,0.625
GPT-5.4,heavy_workspace,120,0,0.0
GPT-5.4,high_judge_disagreement,120,105,0.875
GPT-5.4,workspace_underuse_candidate,120,45,0.375
GPT-5.4,workspace_overuse_candidate,120,0,0.0
GPT-5.4,long_or_tool_intensive_low_score,120,8,0.06666666666666667
GPT-5.4,closed_but_low_score,120,41,0.3416666666666667
GPT-5.4,model_specific_weakness,120,6,0.05
GPT-5.4,serious_error_any_judge,120,45,0.375
GPT-5.4,minor_or_moderate_error_any_judge,120,93,0.775
GPT-5.4,important_non_chain_defect_any_judge,120,7,0.058333333333333334
GPT-5.6 Sol,low_score,120,30,0.25
GPT-5.6 Sol,very_low_score,120,20,0.16666666666666666
GPT-5.6 Sol,below_strong,120,46,0.38333333333333336
GPT-5.6 Sol,high_turn,120,12,0.1
GPT-5.6 Sol,very_high_turn,120,10,0.08333333333333333
GPT-5.6 Sol,no_workspace,120,14,0.11666666666666667
GPT-5.6 Sol,sparse_workspace,120,39,0.325
GPT-5.6 Sol,heavy_workspace,120,6,0.05
GPT-5.6 Sol,high_judge_disagreement,120,78,0.65
GPT-5.6 Sol,workspace_underuse_candidate,120,14,0.11666666666666667
GPT-5.6 Sol,workspace_overuse_candidate,120,3,0.025
GPT-5.6 Sol,long_or_tool_intensive_low_score,120,6,0.05
GPT-5.6 Sol,closed_but_low_score,120,26,0.21666666666666667
GPT-5.6 Sol,model_specific_weakness,120,3,0.025
GPT-5.6 Sol,serious_error_any_judge,120,21,0.175
GPT-5.6 Sol,minor_or_moderate_error_any_judge,120,75,0.625
GPT-5.6 Sol,important_non_chain_defect_any_judge,120,11,0.09166666666666666
