metric,metric_label,judge_1,judge_2,n_models,spearman_rho
friction_capability_composite,Friction Capability Composite,DeepSeek-V4-Pro,GLM-5,10,0.7090909090909091
friction_capability_composite,Friction Capability Composite,DeepSeek-V4-Pro,GPT-5.5,10,0.696969696969697
friction_capability_composite,Friction Capability Composite,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.7575757575757576
friction_capability_composite,Friction Capability Composite,GLM-5,GPT-5.5,10,0.8545454545454545
friction_capability_composite,Friction Capability Composite,GLM-5,GPT-5.6 Sol,10,0.7575757575757576
friction_capability_composite,Friction Capability Composite,GPT-5.5,GPT-5.6 Sol,10,0.8787878787878788
careloop_real_world_robustness,Safety-gated C-RWR,DeepSeek-V4-Pro,GLM-5,10,0.696969696969697
careloop_real_world_robustness,Safety-gated C-RWR,DeepSeek-V4-Pro,GPT-5.5,10,0.7696969696969697
careloop_real_world_robustness,Safety-gated C-RWR,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.7333333333333333
careloop_real_world_robustness,Safety-gated C-RWR,GLM-5,GPT-5.5,10,0.8424242424242424
careloop_real_world_robustness,Safety-gated C-RWR,GLM-5,GPT-5.6 Sol,10,0.7090909090909091
careloop_real_world_robustness,Safety-gated C-RWR,GPT-5.5,GPT-5.6 Sol,10,0.9030303030303031
domain_information_repair,Information repair,DeepSeek-V4-Pro,GLM-5,10,0.6606060606060606
domain_information_repair,Information repair,DeepSeek-V4-Pro,GPT-5.5,10,0.7454545454545455
domain_information_repair,Information repair,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.8909090909090909
domain_information_repair,Information repair,GLM-5,GPT-5.5,10,0.8787878787878788
domain_information_repair,Information repair,GLM-5,GPT-5.6 Sol,10,0.7696969696969697
domain_information_repair,Information repair,GPT-5.5,GPT-5.6 Sol,10,0.8666666666666667
domain_constraint_navigation,Constraint navigation,DeepSeek-V4-Pro,GLM-5,10,0.48632443494405164
domain_constraint_navigation,Constraint navigation,DeepSeek-V4-Pro,GPT-5.5,10,0.5515151515151515
domain_constraint_navigation,Constraint navigation,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.6848484848484848
domain_constraint_navigation,Constraint navigation,GLM-5,GPT-5.5,10,0.5896683773696626
domain_constraint_navigation,Constraint navigation,GLM-5,GPT-5.6 Sol,10,0.7112494861056755
domain_constraint_navigation,Constraint navigation,GPT-5.5,GPT-5.6 Sol,10,0.9515151515151515
domain_dynamic_reprioritization,Dynamic reprioritization,DeepSeek-V4-Pro,GLM-5,10,0.21212121212121213
domain_dynamic_reprioritization,Dynamic reprioritization,DeepSeek-V4-Pro,GPT-5.5,10,0.6727272727272727
domain_dynamic_reprioritization,Dynamic reprioritization,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.6848484848484848
domain_dynamic_reprioritization,Dynamic reprioritization,GLM-5,GPT-5.5,10,0.5272727272727272
domain_dynamic_reprioritization,Dynamic reprioritization,GLM-5,GPT-5.6 Sol,10,0.40606060606060607
domain_dynamic_reprioritization,Dynamic reprioritization,GPT-5.5,GPT-5.6 Sol,10,0.9030303030303031
domain_execution_loop_repair,Execution-loop repair,DeepSeek-V4-Pro,GLM-5,10,0.296969696969697
domain_execution_loop_repair,Execution-loop repair,DeepSeek-V4-Pro,GPT-5.5,10,0.1393939393939394
domain_execution_loop_repair,Execution-loop repair,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.296969696969697
domain_execution_loop_repair,Execution-loop repair,GLM-5,GPT-5.5,10,0.1393939393939394
domain_execution_loop_repair,Execution-loop repair,GLM-5,GPT-5.6 Sol,10,0.4666666666666667
domain_execution_loop_repair,Execution-loop repair,GPT-5.5,GPT-5.6 Sol,10,0.8787878787878788
domain_state_sensitive_communication,State-sensitive communication,DeepSeek-V4-Pro,GLM-5,10,0.6363636363636364
domain_state_sensitive_communication,State-sensitive communication,DeepSeek-V4-Pro,GPT-5.5,10,0.7696969696969697
domain_state_sensitive_communication,State-sensitive communication,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.7818181818181819
domain_state_sensitive_communication,State-sensitive communication,GLM-5,GPT-5.5,10,0.8545454545454545
domain_state_sensitive_communication,State-sensitive communication,GLM-5,GPT-5.6 Sol,10,0.7212121212121212
domain_state_sensitive_communication,State-sensitive communication,GPT-5.5,GPT-5.6 Sol,10,0.8424242424242424
domain_bounded_closure_continuity,Bounded closure/continuity,DeepSeek-V4-Pro,GLM-5,10,0.503030303030303
domain_bounded_closure_continuity,Bounded closure/continuity,DeepSeek-V4-Pro,GPT-5.5,10,0.503030303030303
domain_bounded_closure_continuity,Bounded closure/continuity,DeepSeek-V4-Pro,GPT-5.6 Sol,10,0.5393939393939394
domain_bounded_closure_continuity,Bounded closure/continuity,GLM-5,GPT-5.5,10,0.5393939393939394
domain_bounded_closure_continuity,Bounded closure/continuity,GLM-5,GPT-5.6 Sol,10,0.6
domain_bounded_closure_continuity,Bounded closure/continuity,GPT-5.5,GPT-5.6 Sol,10,0.9636363636363636
