metric,metric_label,judge_1,judge_2,n_trajectories,spearman_rho
friction_capability_composite,Friction Capability Composite,DeepSeek-V4-Pro,GLM-5,1200,0.19910900394791245
friction_capability_composite,Friction Capability Composite,DeepSeek-V4-Pro,GPT-5.5,1200,0.21542063267324324
friction_capability_composite,Friction Capability Composite,DeepSeek-V4-Pro,GPT-5.6 Sol,1200,0.21226159226401708
friction_capability_composite,Friction Capability Composite,GLM-5,GPT-5.5,1200,0.3356620267812626
friction_capability_composite,Friction Capability Composite,GLM-5,GPT-5.6 Sol,1200,0.31392086017420096
friction_capability_composite,Friction Capability Composite,GPT-5.5,GPT-5.6 Sol,1200,0.7458490274060285
careloop_real_world_robustness,Safety-gated C-RWR,DeepSeek-V4-Pro,GLM-5,1200,0.20197787087764965
careloop_real_world_robustness,Safety-gated C-RWR,DeepSeek-V4-Pro,GPT-5.5,1200,0.2129205840439128
careloop_real_world_robustness,Safety-gated C-RWR,DeepSeek-V4-Pro,GPT-5.6 Sol,1200,0.22861604567338864
careloop_real_world_robustness,Safety-gated C-RWR,GLM-5,GPT-5.5,1200,0.2753001368209266
careloop_real_world_robustness,Safety-gated C-RWR,GLM-5,GPT-5.6 Sol,1200,0.25076507035482326
careloop_real_world_robustness,Safety-gated C-RWR,GPT-5.5,GPT-5.6 Sol,1200,0.5937109920891964
domain_information_repair,Information repair,DeepSeek-V4-Pro,GLM-5,1050,0.20151543325112642
domain_information_repair,Information repair,DeepSeek-V4-Pro,GPT-5.5,1050,0.24178459054732526
domain_information_repair,Information repair,DeepSeek-V4-Pro,GPT-5.6 Sol,1050,0.2238439637869069
domain_information_repair,Information repair,GLM-5,GPT-5.5,1050,0.33443829578111856
domain_information_repair,Information repair,GLM-5,GPT-5.6 Sol,1050,0.2652792810563472
domain_information_repair,Information repair,GPT-5.5,GPT-5.6 Sol,1050,0.6844729719401802
domain_constraint_navigation,Constraint navigation,DeepSeek-V4-Pro,GLM-5,890,0.15616134577369406
domain_constraint_navigation,Constraint navigation,DeepSeek-V4-Pro,GPT-5.5,890,0.1883302070668913
domain_constraint_navigation,Constraint navigation,DeepSeek-V4-Pro,GPT-5.6 Sol,890,0.14916574279282327
domain_constraint_navigation,Constraint navigation,GLM-5,GPT-5.5,890,0.30049659644041227
domain_constraint_navigation,Constraint navigation,GLM-5,GPT-5.6 Sol,890,0.28704151438389514
domain_constraint_navigation,Constraint navigation,GPT-5.5,GPT-5.6 Sol,890,0.6695890006093967
domain_dynamic_reprioritization,Dynamic reprioritization,DeepSeek-V4-Pro,GLM-5,480,0.20587438441050063
domain_dynamic_reprioritization,Dynamic reprioritization,DeepSeek-V4-Pro,GPT-5.5,480,0.1335676972575472
domain_dynamic_reprioritization,Dynamic reprioritization,DeepSeek-V4-Pro,GPT-5.6 Sol,480,0.1255003148168723
domain_dynamic_reprioritization,Dynamic reprioritization,GLM-5,GPT-5.5,480,0.29454143280414224
domain_dynamic_reprioritization,Dynamic reprioritization,GLM-5,GPT-5.6 Sol,480,0.21310848724362802
domain_dynamic_reprioritization,Dynamic reprioritization,GPT-5.5,GPT-5.6 Sol,480,0.6826849343755834
domain_execution_loop_repair,Execution-loop repair,DeepSeek-V4-Pro,GLM-5,420,0.21073196976073122
domain_execution_loop_repair,Execution-loop repair,DeepSeek-V4-Pro,GPT-5.5,420,0.1560637699421458
domain_execution_loop_repair,Execution-loop repair,DeepSeek-V4-Pro,GPT-5.6 Sol,420,0.15392782297788582
domain_execution_loop_repair,Execution-loop repair,GLM-5,GPT-5.5,420,0.16893631703222642
domain_execution_loop_repair,Execution-loop repair,GLM-5,GPT-5.6 Sol,420,0.19465678576396056
domain_execution_loop_repair,Execution-loop repair,GPT-5.5,GPT-5.6 Sol,420,0.5317279790670931
domain_state_sensitive_communication,State-sensitive communication,DeepSeek-V4-Pro,GLM-5,380,0.17074092618105863
domain_state_sensitive_communication,State-sensitive communication,DeepSeek-V4-Pro,GPT-5.5,380,0.20642876564752402
domain_state_sensitive_communication,State-sensitive communication,DeepSeek-V4-Pro,GPT-5.6 Sol,380,0.22410972194289144
domain_state_sensitive_communication,State-sensitive communication,GLM-5,GPT-5.5,380,0.2865048915426044
domain_state_sensitive_communication,State-sensitive communication,GLM-5,GPT-5.6 Sol,380,0.2702158464147663
domain_state_sensitive_communication,State-sensitive communication,GPT-5.5,GPT-5.6 Sol,380,0.6757167355650896
domain_bounded_closure_continuity,Bounded closure/continuity,DeepSeek-V4-Pro,GLM-5,520,0.16151500230443816
domain_bounded_closure_continuity,Bounded closure/continuity,DeepSeek-V4-Pro,GPT-5.5,520,0.08632515466016613
domain_bounded_closure_continuity,Bounded closure/continuity,DeepSeek-V4-Pro,GPT-5.6 Sol,520,0.14870906586603608
domain_bounded_closure_continuity,Bounded closure/continuity,GLM-5,GPT-5.5,520,0.268042043322175
domain_bounded_closure_continuity,Bounded closure/continuity,GLM-5,GPT-5.6 Sol,520,0.20650588357850083
domain_bounded_closure_continuity,Bounded closure/continuity,GPT-5.5,GPT-5.6 Sol,520,0.6250829213520639
