doctor_model,primary_friction,n_cases,friction_capability_mean,friction_capability_ci95_low,friction_capability_ci95_high,robustness_mean,robustness_ci95_low,robustness_ci95_high
DeepSeek-V3.2,caregiver_conflict_or_fatigue,12,0.7823890345765346,0.6946260440947941,0.860033538510101,0.6214067234848484,0.49872032160547797,0.7428316442671908
DeepSeek-V4-Pro,caregiver_conflict_or_fatigue,12,0.7574298271173271,0.6776564199689198,0.8235521318958818,0.5804691627816628,0.46497926409527973,0.690175607638889
Doubao-Seed-2.0-lite,caregiver_conflict_or_fatigue,12,0.629381993006993,0.5370221663752913,0.7210008340617715,0.4869273067210567,0.37183742442453394,0.6072318700223388
GLM-5,caregiver_conflict_or_fatigue,12,0.6903674242424241,0.6158848630536132,0.7622177447552447,0.5535068594599846,0.4726631209935897,0.6439136397023116
GPT-5.4,caregiver_conflict_or_fatigue,12,0.8149136072261071,0.7409491222319348,0.8779983610139859,0.7140301937645687,0.6077042003569347,0.8115618662587412
GPT-5.6 Sol,caregiver_conflict_or_fatigue,12,0.8703132284382283,0.8216620228729603,0.9208335336538463,0.7792440632284383,0.6909665874490093,0.8642431162587413
Kimi K2,caregiver_conflict_or_fatigue,12,0.7243891802641804,0.6352556247571872,0.8098513755341881,0.5607021294677546,0.4799287793803419,0.6476468428273116
MiniMax M3,caregiver_conflict_or_fatigue,12,0.8001833236208236,0.7031679596445222,0.8778599759615384,0.6499057279526029,0.5156316727976884,0.7715982526587994
Qwen3-30B-A3B-Instruct-2507,caregiver_conflict_or_fatigue,12,0.6336893939393939,0.5601679997086249,0.7116356388403262,0.40054762771950275,0.2908867196605478,0.5311467447916666
Qwen3.8-Max,caregiver_conflict_or_fatigue,12,0.80053108003108,0.7108038789335664,0.876738086392774,0.6692310727466978,0.5393410593312938,0.7827306417540794
DeepSeek-V3.2,cost_transport_or_work_barrier,12,0.8162517094017093,0.761237016559829,0.8731316105769232,0.6418660096153845,0.5412537956730769,0.7374561398237179
DeepSeek-V4-Pro,cost_transport_or_work_barrier,12,0.8749284188034189,0.8050455395299145,0.9381176282051283,0.7290365651709401,0.5962836979166666,0.8512908253205129
Doubao-Seed-2.0-lite,cost_transport_or_work_barrier,12,0.7665512820512821,0.6841948050213675,0.8419882879273506,0.5984102297008548,0.4682887119391026,0.7247818315972222
GLM-5,cost_transport_or_work_barrier,12,0.8793376068376069,0.8257071314102564,0.9307684962606837,0.7653649839743588,0.6793440037393161,0.846469327590812
GPT-5.4,cost_transport_or_work_barrier,12,0.8618936965811965,0.8083225160256409,0.9155983573717947,0.787956063034188,0.7294994658119657,0.8419886818910256
GPT-5.6 Sol,cost_transport_or_work_barrier,12,0.8996185897435897,0.8352240384615384,0.955183814102564,0.8498441506410256,0.7744607271634616,0.9180417668269231
Kimi K2,cost_transport_or_work_barrier,12,0.8234456196581195,0.7613140384615386,0.8842229567307691,0.663381810897436,0.5422480368589743,0.7829553786057691
MiniMax M3,cost_transport_or_work_barrier,12,0.825903952991453,0.7635225160256409,0.8842651842948719,0.6716932264957265,0.5545810409989317,0.7756229524572648
Qwen3-30B-A3B-Instruct-2507,cost_transport_or_work_barrier,12,0.7213275641025642,0.6073883173076923,0.8308997195512822,0.5478074893162392,0.4139602967414529,0.6805745365918802
Qwen3.8-Max,cost_transport_or_work_barrier,12,0.8714123931623932,0.8097164797008546,0.9266835069444442,0.7330741452991454,0.6276454914529915,0.8387744891826923
DeepSeek-V3.2,delayed_or_staged_result_return,12,0.6760050955988456,0.5497001961580086,0.7902798442009378,0.43847788600288595,0.3247650896239177,0.5722985615643037
DeepSeek-V4-Pro,delayed_or_staged_result_return,12,0.7658993957431458,0.6890774936868687,0.8420184828192641,0.6660957228535352,0.593102086715368,0.7438892834595957
Doubao-Seed-2.0-lite,delayed_or_staged_result_return,12,0.6783764430014431,0.5869370355339105,0.7668390444624819,0.47236251352813846,0.366286803582702,0.5807717445098304
GLM-5,delayed_or_staged_result_return,12,0.7083999368686867,0.6097359499007937,0.801846856962482,0.4839655303030302,0.3692154298002344,0.6030075546198591
GPT-5.4,delayed_or_staged_result_return,12,0.816258658008658,0.7491441163870852,0.87905358495671,0.6885716878607503,0.5979425490958694,0.7844298828124998
GPT-5.6 Sol,delayed_or_staged_result_return,12,0.8244944985569984,0.7599600694444443,0.8878973552489177,0.773920623647186,0.6921441028589466,0.857731417128878
Kimi K2,delayed_or_staged_result_return,12,0.6696284271284271,0.534309061598124,0.7805562657828282,0.4949262603715728,0.36406472735164147,0.625184377536526
MiniMax M3,delayed_or_staged_result_return,12,0.7450471681096681,0.6772603445165946,0.8067441716269841,0.5597428684163058,0.43495403589466086,0.6805605839082791
Qwen3-30B-A3B-Instruct-2507,delayed_or_staged_result_return,12,0.5951795634920635,0.4803297123015873,0.698450669642857,0.3665248782467532,0.24102485389610387,0.5076474199585136
Qwen3.8-Max,delayed_or_staged_result_return,12,0.7605930735930735,0.6857377908549782,0.8305181040313852,0.6185430127164503,0.5078435403138529,0.730209116612554
DeepSeek-V3.2,document_or_image_quality_problem,12,0.6287320526695527,0.5409262513528139,0.7093410443722944,0.4579504396645022,0.3406949908685064,0.5699082437094156
DeepSeek-V4-Pro,document_or_image_quality_problem,12,0.7320211038961041,0.6375899283008659,0.8269715909090911,0.6135479797979798,0.47129973000090186,0.7572810358044734
Doubao-Seed-2.0-lite,document_or_image_quality_problem,12,0.5656579184704184,0.46788672438672435,0.6657000924422798,0.4281292388167388,0.3173460334370491,0.5374731593276515
GLM-5,document_or_image_quality_problem,12,0.6818253968253969,0.5920175753066378,0.7659298791486291,0.5892031362734488,0.47489251330266957,0.6918104130027959
GPT-5.4,document_or_image_quality_problem,12,0.7311609848484849,0.6334569196428572,0.8222733946608946,0.6451181908369407,0.54046964454816,0.7483578587211399
GPT-5.6 Sol,document_or_image_quality_problem,12,0.7807611832611832,0.7110500541125541,0.842412912608225,0.6976194985569985,0.5967931801271645,0.7876110716540404
Kimi K2,document_or_image_quality_problem,12,0.641250450937951,0.5437717690295816,0.7324332611832611,0.3945314078282827,0.3021407157512626,0.4811418087121212
MiniMax M3,document_or_image_quality_problem,12,0.6767769660894661,0.6163573976370852,0.7350708446067821,0.5108039998196249,0.4105663667929293,0.6060441721906566
Qwen3-30B-A3B-Instruct-2507,document_or_image_quality_problem,12,0.6332004419191919,0.5394939123376623,0.7115573401424963,0.4613340683621934,0.3674949458874458,0.5510821741973303
Qwen3.8-Max,document_or_image_quality_problem,12,0.7491991792929293,0.6528885969065658,0.8444131944444444,0.6341615936147186,0.4937432162022006,0.7744486578959234
DeepSeek-V3.2,external_system_gap,12,0.6808023989898989,0.5851133398719337,0.7682474037247475,0.5439870174963924,0.45332315267631673,0.6346366393849207
