packet_id,case_id,doctor_model,primary_friction,friction_intensity,ordinal_grade_median4,ordinal_grade_mean4,applicable_domain_count_median4,applicable_domain_count_mean4,friction_capability_composite_median4,friction_capability_composite_mean4,clinical_error_gate_median4,clinical_error_gate_mean4,careloop_real_world_robustness_median4,careloop_real_world_robustness_mean4,closure_process_score_median4,closure_process_score_mean4,domain_information_repair_median4,domain_information_repair_mean4,domain_constraint_navigation_median4,domain_constraint_navigation_mean4,domain_dynamic_reprioritization_median4,domain_dynamic_reprioritization_mean4,domain_execution_loop_repair_median4,domain_execution_loop_repair_mean4,domain_state_sensitive_communication_median4,domain_state_sensitive_communication_mean4,domain_bounded_closure_continuity_median4,domain_bounded_closure_continuity_mean4
case_CL120_EHR_001__anon_037065201d48441b,case_CL120_EHR_001,MiniMax M3,incomplete_patient_information,light,3.0,3.0,3.0,3.0,0.6268,0.6303375,0.675,0.675,0.49156750000000005,0.519211875,0.78,0.74,0.4,0.45,,,0.90625,0.790625,,,,,0.64975,0.7105
case_CL120_EHR_001__anon_08e8f50ddc442d2a,case_CL120_EHR_001,DeepSeek-V4-Pro,incomplete_patient_information,light,3.5,3.25,3.0,3.0,0.8343750000000001,0.8130000000000001,0.875,0.775,0.73078125,0.666425,1.0,0.8,0.6000000000000001,0.675,,,0.98125,0.934375,,,,,1.0,0.875625
case_CL120_EHR_001__anon_3465ccd25b14e88e,case_CL120_EHR_001,GPT-5.4,incomplete_patient_information,light,4.0,3.75,3.0,3.0,0.5622499999999999,0.5520625,1.0,0.9375,0.5066875,0.52428125,1.0,0.8,0.275,0.32500000000000007,,,0.7875,0.7,,,,,0.72,0.706875
case_CL120_EHR_001__anon_34d3ebd3c75fe288,case_CL120_EHR_001,Qwen3.8-Max,incomplete_patient_information,light,3.5,3.5,3.0,3.0,0.688125,0.7106250000000001,0.875,0.875,0.60109375,0.62796875,1.0,1.0,0.375,0.375,,,0.9625,0.953125,,,,,1.0,0.915625
case_CL120_EHR_001__anon_3ac26ec9d4445cba,case_CL120_EHR_001,Doubao-Seed-2.0-lite,incomplete_patient_information,light,2.0,2.25,3.0,3.0,0.39949999999999997,0.4215625,0.75,0.7125,0.31740625,0.31264687500000005,0.8,0.75,0.2,0.21250000000000002,,,0.32499999999999996,0.44062499999999993,,,,,0.70875,0.68125
case_CL120_EHR_001__anon_65393fdc139bbca4,case_CL120_EHR_001,GPT-5.6 Sol,incomplete_patient_information,light,5.0,5.0,3.0,3.0,0.8400000000000001,0.8800000000000001,1.0,1.0,0.8400000000000001,0.8800000000000001,1.0,1.0,0.6000000000000001,0.7000000000000001,,,1.0,1.0,,,,,1.0,1.0
case_CL120_EHR_001__anon_76335b0278ad1722,case_CL120_EHR_001,Kimi K2,incomplete_patient_information,light,1.5,2.25,3.0,3.0,0.7025,0.6697500000000001,0.55,0.6125,0.43362500000000004,0.49078750000000004,1.0,0.85,0.6000000000000001,0.6000000000000001,,,0.6375,0.578125,,,,,0.9375,0.854375
case_CL120_EHR_001__anon_846298bc40d89b30,case_CL120_EHR_001,DeepSeek-V3.2,incomplete_patient_information,light,2.0,2.25,3.0,3.0,0.5793,0.5356750000000001,0.75,0.8125,0.43447500000000006,0.416990625,0.78,0.73,0.42500000000000004,0.43750000000000006,,,0.73125,0.6625,,,,,0.481,0.5397500000000001
case_CL120_EHR_001__anon_eb0367eb696c3ff4,case_CL120_EHR_001,Qwen3-30B-A3B-Instruct-2507,incomplete_patient_information,light,2.0,2.5,3.0,3.0,0.486625,0.4751875,0.675,0.675,0.24153125,0.31642499999999996,1.0,0.8,0.25,0.25,,,0.51875,0.5281250000000001,,,,,0.75125,0.7225
case_CL120_EHR_001__anon_f2fac2cbd42c3e1f,case_CL120_EHR_001,GLM-5,incomplete_patient_information,light,2.0,2.25,3.0,3.0,0.6675,0.6488624999999999,0.75,0.7125,0.57015625,0.4746775,0.8800000000000001,0.8300000000000001,0.375,0.41250000000000003,,,0.8875,0.846875,,,,,0.776,0.766
case_CL120_EHR_002__anon_241b2f8fd08b5b1d,case_CL120_EHR_002,DeepSeek-V3.2,medication_confusion_or_execution_failure,light,2.5,2.75,2.0,2.0,0.6499999999999999,0.5979166666666667,0.875,0.875,0.48749999999999993,0.5166666666666666,1.0,1.0,0.35,0.39583333333333337,0.9749999999999999,0.7999999999999999,,,,,,,,
case_CL120_EHR_002__anon_38c9d580c68644c3,case_CL120_EHR_002,Qwen3.8-Max,medication_confusion_or_execution_failure,light,3.0,3.0,2.0,2.0,0.7749999999999999,0.6625,0.675,0.675,0.5095833333333333,0.5135416666666667,1.0,0.75,0.55,0.55,0.9999999999999999,0.7749999999999999,,,,,,,,
case_CL120_EHR_002__anon_425ebf15d3248e97,case_CL120_EHR_002,Kimi K2,medication_confusion_or_execution_failure,light,5.0,4.0,2.0,2.0,0.7958333333333334,0.74375,1.0,0.8375,0.6916666666666667,0.6259375,1.0,1.0,0.7333333333333334,0.675,0.9749999999999999,0.8125,,,,,,,,
case_CL120_EHR_002__anon_47dc581a11ad55fb,case_CL120_EHR_002,DeepSeek-V4-Pro,medication_confusion_or_execution_failure,light,2.0,2.5,2.0,2.0,0.8125,0.71875,0.675,0.675,0.29125,0.4546875,1.0,0.85,0.675,0.6375,0.95,0.8,,,,,,,,
case_CL120_EHR_002__anon_675367c76a08ffb7,case_CL120_EHR_002,Doubao-Seed-2.0-lite,medication_confusion_or_execution_failure,light,3.5,3.25,2.0,2.0,0.9208333333333333,0.8666666666666666,0.875,0.775,0.8072916666666666,0.7083333333333333,1.0,0.8,0.8416666666666668,0.7708333333333334,0.9999999999999999,0.9624999999999999,,,,,,,,
case_CL120_EHR_002__anon_721ea269f2d7696b,case_CL120_EHR_002,MiniMax M3,medication_confusion_or_execution_failure,light,1.5,1.5,2.0,2.0,0.4041666666666667,0.47291666666666665,0.55,0.55,0.19479166666666664,0.2096875,1.0,0.95,0.4083333333333333,0.4458333333333333,0.39999999999999997,0.5,,,,,,,,
case_CL120_EHR_002__anon_7ded34b5c1d728b7,case_CL120_EHR_002,GPT-5.4,medication_confusion_or_execution_failure,light,1.5,1.5,2.0,2.0,0.5208333333333333,0.5375,0.55,0.55,0.2689583333333333,0.263125,1.0,0.89,0.2416666666666667,0.275,0.7999999999999999,0.7999999999999999,,,,,,,,
case_CL120_EHR_002__anon_844981f219556782,case_CL120_EHR_002,GPT-5.6 Sol,medication_confusion_or_execution_failure,light,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,,,,,,,,
case_CL120_EHR_002__anon_90068fc2af88369f,case_CL120_EHR_002,Qwen3-30B-A3B-Instruct-2507,medication_confusion_or_execution_failure,light,1.0,2.0,2.0,2.0,0.7249999999999999,0.5916666666666667,0.35,0.5125000000000001,0.25375,0.34791666666666665,1.0,0.75,0.44999999999999996,0.4083333333333333,0.9999999999999999,0.7749999999999999,,,,,,,,
case_CL120_EHR_002__anon_b11480da78820b41,case_CL120_EHR_002,GLM-5,medication_confusion_or_execution_failure,light,4.0,3.5,2.0,2.0,0.8208333333333333,0.7520833333333332,1.0,0.8375,0.8208333333333333,0.6816666666666666,1.0,0.85,0.6416666666666667,0.6041666666666667,0.9999999999999999,0.8999999999999999,,,,,,,,
case_CL120_EHR_003__anon_0a2ef7756cff3e47,case_CL120_EHR_003,DeepSeek-V4-Pro,caregiver_conflict_or_fatigue,light,2.0,2.5,4.0,4.0,0.7331730769230769,0.7093750000000001,0.75,0.7125,0.4914663461538461,0.5155889423076923,0.68,0.64,0.47500000000000003,0.525,0.8999999999999999,0.9125,0.5,0.528125,,,0.9249999999999999,0.9437499999999999,,
case_CL120_EHR_003__anon_34d9ef3cf1c6212c,case_CL120_EHR_003,MiniMax M3,caregiver_conflict_or_fatigue,light,3.5,3.5,4.0,4.0,0.8865384615384615,0.8985576923076922,0.875,0.875,0.7877403846153846,0.7787259615384615,1.0,1.0,1.0,0.975,0.9999999999999999,0.9999999999999999,0.575,0.59375,,,1.0,1.0,,
