judge_model,primary_friction,n,friction_capability_composite_mean,careloop_real_world_robustness_mean
DeepSeek-V4-Pro,caregiver_conflict_or_fatigue,120,0.6517943570318571,0.5962651913364413
DeepSeek-V4-Pro,cost_transport_or_work_barrier,120,0.7002930555555555,0.6580734775641025
DeepSeek-V4-Pro,delayed_or_staged_result_return,120,0.6245588564213563,0.5820672213203463
DeepSeek-V4-Pro,document_or_image_quality_problem,120,0.5472714646464646,0.5030476821789321
DeepSeek-V4-Pro,external_system_gap,120,0.5643476244588744,0.5144958743686868
DeepSeek-V4-Pro,incomplete_patient_information,120,0.5937129419191919,0.5483466801948053
DeepSeek-V4-Pro,low_adherence_or_refusal,120,0.6524631410256411,0.6149108440170941
DeepSeek-V4-Pro,medication_confusion_or_execution_failure,120,0.640072601010101,0.5815130997474748
DeepSeek-V4-Pro,misstated_family_or_patient_information,120,0.6478097943722944,0.6083357458513708
DeepSeek-V4-Pro,privacy_stigma_or_sensitive_history,120,0.5583037878787879,0.5152089908008658
GLM-5,caregiver_conflict_or_fatigue,120,0.7969597416472417,0.78435160499223
GLM-5,cost_transport_or_work_barrier,120,0.8301591025641026,0.8021006303418804
GLM-5,delayed_or_staged_result_return,120,0.6817632665945167,0.6640172438672439
GLM-5,document_or_image_quality_problem,120,0.7172274531024531,0.6973100536616161
GLM-5,external_system_gap,120,0.7098214285714286,0.6886542433261184
GLM-5,incomplete_patient_information,120,0.7014456691919192,0.678650864448052
GLM-5,low_adherence_or_refusal,120,0.8302373251748253,0.8105141802641803
GLM-5,medication_confusion_or_execution_failure,120,0.7675536616161617,0.752988952020202
GLM-5,misstated_family_or_patient_information,120,0.7172227633477634,0.7051534857503607
GLM-5,privacy_stigma_or_sensitive_history,120,0.6672773268398268,0.646314678030303
GPT-5.5,caregiver_conflict_or_fatigue,120,0.7957180944055945,0.6202673208041958
GPT-5.5,cost_transport_or_work_barrier,120,0.8974530128205128,0.7570771869658119
GPT-5.5,delayed_or_staged_result_return,120,0.8194433441558442,0.6307188658910533
GPT-5.5,document_or_image_quality_problem,120,0.774656773088023,0.6061044967532467
GPT-5.5,external_system_gap,120,0.8170093704906205,0.6528395477092351
GPT-5.5,incomplete_patient_information,120,0.7891920905483405,0.5997866158910534
GPT-5.5,low_adherence_or_refusal,120,0.9101858294483294,0.7443605215617716
GPT-5.5,medication_confusion_or_execution_failure,120,0.8353397727272728,0.6361364393939394
GPT-5.5,misstated_family_or_patient_information,120,0.7975070526695528,0.609398502886003
GPT-5.5,privacy_stigma_or_sensitive_history,120,0.6617981060606061,0.4844660173160173
gpt-5.6-sol,caregiver_conflict_or_fatigue,120,0.6591368978243979,0.36617876505439007
gpt-5.6-sol,cost_transport_or_work_barrier,120,0.7438601495726496,0.4708527403846154
gpt-5.6-sol,delayed_or_staged_result_return,120,0.6601568993506494,0.3590551893939394
gpt-5.6-sol,document_or_image_quality_problem,120,0.5905451244588744,0.3475514145021645
gpt-5.6-sol,external_system_gap,120,0.6705290097402598,0.38263935705266955
gpt-5.6-sol,incomplete_patient_information,120,0.6067261381673882,0.32564849702380955
gpt-5.6-sol,low_adherence_or_refusal,120,0.8109935800310801,0.46880104749417245
gpt-5.6-sol,medication_confusion_or_execution_failure,120,0.6935531565656565,0.4080782007575757
gpt-5.6-sol,misstated_family_or_patient_information,120,0.6217851911976913,0.3533996167027417
gpt-5.6-sol,privacy_stigma_or_sensitive_history,120,0.558074567099567,0.3176943398268398
