primary_friction,n_cases,n_model_case_trajectories,equal_model_friction_capability_mean,ci95_low,ci95_high,equal_model_robustness_mean,robustness_ci95_low,robustness_ci95_high
caregiver_conflict_or_fatigue,12,120,0.7503588092463093,0.7063013960518648,0.7942553560848874,0.6015970867327117,0.5345827896148989,0.6718932402753495
cost_transport_or_work_barrier,12,120,0.8340670833333333,0.8030478637820513,0.8657571995192308,0.69884346741453,0.6406931219951922,0.7510260045005341
delayed_or_staged_result_return,12,120,0.723988226010101,0.6646599947014791,0.782067940340909,0.5563130983946609,0.5024320421063312,0.6135337034462934
document_or_image_quality_problem,12,120,0.6820585678210679,0.6201411593614718,0.7423932523899711,0.5432399553571429,0.47091784953327925,0.6104480476077742
external_system_gap,12,120,0.7251939015151515,0.6783165843253968,0.7709228267045455,0.5713809992784993,0.5232680422021555,0.6254702684151786
incomplete_patient_information,12,120,0.6915903670634921,0.6430197157738095,0.7396167393353175,0.5405348548430736,0.4888964651706801,0.5894200978073142
low_adherence_or_refusal,12,120,0.849159425990676,0.8174587667540791,0.879035286640443,0.6803834188034189,0.6064862065972223,0.7485136001602565
medication_confusion_or_execution_failure,12,120,0.766872601010101,0.7124620107323232,0.8157267676767677,0.6023563099747474,0.5305567440025252,0.6680632480271465
misstated_family_or_patient_information,12,120,0.7318302940115441,0.6632284343434345,0.8027190798611111,0.5758090029761905,0.49714624312319633,0.6588089608134919
privacy_stigma_or_sensitive_history,12,120,0.626517343073593,0.5102815280032467,0.729288876488095,0.4850037486471861,0.38192943005952373,0.5846459175459957
