doctor_model,domain,n_applicable_cases,proportion_of_120,mean_if_applicable
DeepSeek-V3.2,information_repair,105,0.875,0.6267460317460318
DeepSeek-V3.2,constraint_navigation,89,0.7416666666666667,0.8660112359550559
DeepSeek-V3.2,dynamic_reprioritization,48,0.4,0.6221354166666666
DeepSeek-V3.2,execution_loop_repair,42,0.35,0.7559523809523808
DeepSeek-V3.2,state_sensitive_communication,38,0.31666666666666665,0.8773026315789472
DeepSeek-V3.2,bounded_closure_continuity,52,0.43333333333333335,0.7816298076923077
DeepSeek-V4-Pro,information_repair,105,0.875,0.6890476190476189
DeepSeek-V4-Pro,constraint_navigation,89,0.7416666666666667,0.8884831460674157
DeepSeek-V4-Pro,dynamic_reprioritization,48,0.4,0.6583333333333332
DeepSeek-V4-Pro,execution_loop_repair,42,0.35,0.7970238095238094
DeepSeek-V4-Pro,state_sensitive_communication,38,0.31666666666666665,0.8848684210526315
DeepSeek-V4-Pro,bounded_closure_continuity,52,0.43333333333333335,0.8690576923076923
Doubao-Seed-2.0-lite,information_repair,105,0.875,0.5233333333333331
Doubao-Seed-2.0-lite,constraint_navigation,89,0.7416666666666667,0.7676966292134834
Doubao-Seed-2.0-lite,dynamic_reprioritization,48,0.4,0.5587239583333332
Doubao-Seed-2.0-lite,execution_loop_repair,42,0.35,0.7113095238095238
Doubao-Seed-2.0-lite,state_sensitive_communication,38,0.31666666666666665,0.7786184210526315
Doubao-Seed-2.0-lite,bounded_closure_continuity,52,0.43333333333333335,0.7050576923076926
GLM-5,information_repair,105,0.875,0.6301587301587303
GLM-5,constraint_navigation,89,0.7416666666666667,0.8632022471910112
GLM-5,dynamic_reprioritization,48,0.4,0.6496093749999999
GLM-5,execution_loop_repair,42,0.35,0.786904761904762
GLM-5,state_sensitive_communication,38,0.31666666666666665,0.8217105263157896
GLM-5,bounded_closure_continuity,52,0.43333333333333335,0.8112596153846153
GPT-5.4,information_repair,105,0.875,0.7108730158730163
GPT-5.4,constraint_navigation,89,0.7416666666666667,0.8879213483146067
GPT-5.4,dynamic_reprioritization,48,0.4,0.7630208333333334
GPT-5.4,execution_loop_repair,42,0.35,0.7720238095238094
GPT-5.4,state_sensitive_communication,38,0.31666666666666665,0.8891447368421052
GPT-5.4,bounded_closure_continuity,52,0.43333333333333335,0.8621923076923077
GPT-5.6 Sol,information_repair,105,0.875,0.7515873015873016
GPT-5.6 Sol,constraint_navigation,89,0.7416666666666667,0.9087078651685392
GPT-5.6 Sol,dynamic_reprioritization,48,0.4,0.7769531249999999
GPT-5.6 Sol,execution_loop_repair,42,0.35,0.8553571428571428
GPT-5.6 Sol,state_sensitive_communication,38,0.31666666666666665,0.9177631578947371
GPT-5.6 Sol,bounded_closure_continuity,52,0.43333333333333335,0.905028846153846
Kimi K2,information_repair,105,0.875,0.5967460317460317
Kimi K2,constraint_navigation,89,0.7416666666666667,0.8393258426966291
Kimi K2,dynamic_reprioritization,48,0.4,0.6200520833333333
Kimi K2,execution_loop_repair,42,0.35,0.6964285714285714
Kimi K2,state_sensitive_communication,38,0.31666666666666665,0.7733552631578946
Kimi K2,bounded_closure_continuity,52,0.43333333333333335,0.7534230769230773
MiniMax M3,information_repair,105,0.875,0.678015873015873
MiniMax M3,constraint_navigation,89,0.7416666666666667,0.8634831460674154
MiniMax M3,dynamic_reprioritization,48,0.4,0.6800781249999998
MiniMax M3,execution_loop_repair,42,0.35,0.7303571428571429
MiniMax M3,state_sensitive_communication,38,0.31666666666666665,0.9065789473684212
MiniMax M3,bounded_closure_continuity,52,0.43333333333333335,0.7866490384615383
Qwen3-30B-A3B-Instruct-2507,information_repair,105,0.875,0.5360317460317461
Qwen3-30B-A3B-Instruct-2507,constraint_navigation,89,0.7416666666666667,0.7469101123595506
Qwen3-30B-A3B-Instruct-2507,dynamic_reprioritization,48,0.4,0.55625
Qwen3-30B-A3B-Instruct-2507,execution_loop_repair,42,0.35,0.657142857142857
Qwen3-30B-A3B-Instruct-2507,state_sensitive_communication,38,0.31666666666666665,0.7480263157894737
Qwen3-30B-A3B-Instruct-2507,bounded_closure_continuity,52,0.43333333333333335,0.6893028846153846
Qwen3.8-Max,information_repair,105,0.875,0.6830158730158729
Qwen3.8-Max,constraint_navigation,89,0.7416666666666667,0.8910112359550562
Qwen3.8-Max,dynamic_reprioritization,48,0.4,0.685546875
Qwen3.8-Max,execution_loop_repair,42,0.35,0.7577380952380951
Qwen3.8-Max,state_sensitive_communication,38,0.31666666666666665,0.9184210526315787
Qwen3.8-Max,bounded_closure_continuity,52,0.43333333333333335,0.8495192307692309
