judge_model,doctor_model,n_trajectories,score_mean,rank
DeepSeek-V4-Pro,DeepSeek-V3.2,120,0.5862765130702631,8.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,120,0.6674620865245866,4.0
DeepSeek-V4-Pro,Doubao-Seed-2.0-lite,120,0.5227525772838272,9.0
DeepSeek-V4-Pro,GLM-5,120,0.6873955655455657,3.0
DeepSeek-V4-Pro,GPT-5.4,120,0.7196061091686095,2.0
DeepSeek-V4-Pro,GPT-5.6 Sol,120,0.7350116883116884,1.0
DeepSeek-V4-Pro,Kimi K2,120,0.6007472041847043,7.0
DeepSeek-V4-Pro,MiniMax M3,120,0.6114578517316017,5.0
DeepSeek-V4-Pro,Qwen3-30B-A3B-Instruct-2507,120,0.443488927045177,10.0
DeepSeek-V4-Pro,Qwen3.8-Max,120,0.6064291014541013,6.0
GLM-5,DeepSeek-V3.2,120,0.7198475156787653,8.0
GLM-5,DeepSeek-V4-Pro,120,0.7994625394050395,2.0
GLM-5,Doubao-Seed-2.0-lite,120,0.6930418338605837,9.0
GLM-5,GLM-5,120,0.7353433302808304,6.0
GLM-5,GPT-5.4,120,0.7674840749528246,3.0
GLM-5,GPT-5.6 Sol,120,0.7584610979298482,4.0
GLM-5,Kimi K2,120,0.7218878324453325,7.0
GLM-5,MiniMax M3,120,0.7537511566211567,5.0
GLM-5,Qwen3-30B-A3B-Instruct-2507,120,0.6654203983516483,10.0
GLM-5,Qwen3.8-Max,120,0.8049679591242093,1.0
GPT-5.5,DeepSeek-V3.2,120,0.8197709064546566,6.0
GPT-5.5,DeepSeek-V4-Pro,120,0.8509672566322565,3.0
GPT-5.5,Doubao-Seed-2.0-lite,120,0.7174591881729383,10.0
GPT-5.5,GLM-5,120,0.7952495669608168,7.0
GPT-5.5,GPT-5.4,120,0.8353991924741925,5.0
GPT-5.5,GPT-5.6 Sol,120,0.8834537941225439,1.0
GPT-5.5,Kimi K2,120,0.7647111098623598,8.0
GPT-5.5,MiniMax M3,120,0.8400239872627373,4.0
GPT-5.5,Qwen3-30B-A3B-Instruct-2507,120,0.7391140229215227,9.0
GPT-5.5,Qwen3.8-Max,120,0.8521544215506714,2.0
gpt-5.6-sol,DeepSeek-V3.2,120,0.6640784347596845,5.0
gpt-5.6-sol,DeepSeek-V4-Pro,120,0.6914956053668551,3.0
gpt-5.6-sol,Doubao-Seed-2.0-lite,120,0.569364847097347,10.0
gpt-5.6-sol,GLM-5,120,0.6464495571095568,7.0
gpt-5.6-sol,GPT-5.4,120,0.7218221126096124,2.0
gpt-5.6-sol,GPT-5.6 Sol,120,0.8072873584748586,1.0
gpt-5.6-sol,Kimi K2,120,0.5860067425629925,9.0
gpt-5.6-sol,MiniMax M3,120,0.6630561974136978,6.0
gpt-5.6-sol,Qwen3-30B-A3B-Instruct-2507,120,0.5974595682095682,8.0
gpt-5.6-sol,Qwen3.8-Max,120,0.6683402904040403,4.0
