omitted_primary_friction,doctor_model,n_trajectories,score_mean,rank,rank_spearman_vs_all_friction_primary
caregiver_conflict_or_fatigue,DeepSeek-V3.2,108,0.7334197381322382,7.0,0.9757575757575757
caregiver_conflict_or_fatigue,DeepSeek-V4-Pro,108,0.785791523060273,2.0,0.9757575757575757
caregiver_conflict_or_fatigue,Doubao-Seed-2.0-lite,108,0.6535843211572379,9.0,0.9757575757575757
caregiver_conflict_or_fatigue,GLM-5,108,0.7452315978774313,5.0,0.9757575757575757
caregiver_conflict_or_fatigue,GPT-5.4,108,0.7827889232680896,3.0,0.9757575757575757
caregiver_conflict_or_fatigue,GPT-5.6 Sol,108,0.8192896258833757,1.0,0.9757575757575757
caregiver_conflict_or_fatigue,Kimi K2,108,0.6904629140920808,8.0,0.9757575757575757
caregiver_conflict_or_fatigue,MiniMax M3,108,0.7417477400685736,6.0,0.9757575757575757
caregiver_conflict_or_fatigue,Qwen3-30B-A3B-Instruct-2507,108,0.6463352091581258,10.0,0.9757575757575757
caregiver_conflict_or_fatigue,Qwen3.8-Max,108,0.7694348626681958,4.0,0.9757575757575757
cost_transport_or_work_barrier,DeepSeek-V3.2,108,0.7296572187072188,6.0,0.9878787878787879
cost_transport_or_work_barrier,DeepSeek-V4-Pro,108,0.7727361239840408,3.0,0.9878787878787879
cost_transport_or_work_barrier,Doubao-Seed-2.0-lite,108,0.6383432890412057,9.0,0.9878787878787879
cost_transport_or_work_barrier,GLM-5,108,0.724234910922411,7.0,0.9878787878787879
cost_transport_or_work_barrier,GPT-5.4,108,0.7775689133397463,2.0,0.9878787878787879
cost_transport_or_work_barrier,GPT-5.6 Sol,108,0.8160334746272246,1.0,0.9878787878787879
cost_transport_or_work_barrier,Kimi K2,108,0.6794566430483099,8.0,0.9878787878787879
cost_transport_or_work_barrier,MiniMax M3,108,0.7388898923607259,5.0,0.9878787878787879
cost_transport_or_work_barrier,Qwen3-30B-A3B-Instruct-2507,108,0.6365976346955513,10.0,0.9878787878787879
cost_transport_or_work_barrier,Qwen3.8-Max,108,0.7615591612091608,4.0,0.9878787878787879
delayed_or_staged_result_return,DeepSeek-V3.2,108,0.7452401757964259,6.0,0.9636363636363636
delayed_or_staged_result_return,DeepSeek-V4-Pro,108,0.7848504598796265,2.0,0.9636363636363636
delayed_or_staged_result_return,Doubao-Seed-2.0-lite,108,0.6481404933800768,10.0,0.9636363636363636
delayed_or_staged_result_return,GLM-5,108,0.7432279853634021,7.0,0.9636363636363636
delayed_or_staged_result_return,GPT-5.4,108,0.7826394731811394,3.0,0.9636363636363636
delayed_or_staged_result_return,GPT-5.6 Sol,108,0.8243805958701791,1.0,0.9636363636363636
delayed_or_staged_result_return,Kimi K2,108,0.6965474422182756,8.0,0.9636363636363636
delayed_or_staged_result_return,MiniMax M3,108,0.7478739795698132,5.0,0.9636363636363636
delayed_or_staged_result_return,Qwen3-30B-A3B-Instruct-2507,108,0.6506140792078293,9.0,0.9636363636363636
delayed_or_staged_result_return,Qwen3.8-Max,108,0.7738724189390853,4.0,0.9636363636363636
document_or_image_quality_problem,DeepSeek-V3.2,108,0.7504927361219029,6.0,0.9878787878787879
document_or_image_quality_problem,DeepSeek-V4-Pro,108,0.788614714529298,3.0,0.9878787878787879
document_or_image_quality_problem,Doubao-Seed-2.0-lite,108,0.660664773883524,9.0,0.9878787878787879
document_or_image_quality_problem,GLM-5,108,0.7461807120348787,7.0,0.9878787878787879
document_or_image_quality_problem,GPT-5.4,108,0.7920947701989365,2.0,0.9878787878787879
document_or_image_quality_problem,GPT-5.6 Sol,108,0.8292398531252696,1.0,0.9878787878787879
document_or_image_quality_problem,Kimi K2,108,0.699700550683884,8.0,0.9878787878787879
document_or_image_quality_problem,MiniMax M3,108,0.7554595575720577,5.0,0.9878787878787879
document_or_image_quality_problem,Qwen3-30B-A3B-Instruct-2507,108,0.6463895371603704,10.0,0.9878787878787879
document_or_image_quality_problem,Qwen3.8-Max,108,0.7751384071946568,4.0,0.9878787878787879
external_system_gap,DeepSeek-V3.2,108,0.744707142086309,5.0,0.9636363636363636
external_system_gap,DeepSeek-V4-Pro,108,0.780547449618283,3.0,0.9636363636363636
external_system_gap,Doubao-Seed-2.0-lite,108,0.6576032709574376,9.0,0.9636363636363636
external_system_gap,GLM-5,108,0.7407152288298122,7.0,0.9636363636363636
external_system_gap,GPT-5.4,108,0.7829453644349476,2.0,0.9636363636363636
external_system_gap,GPT-5.6 Sol,108,0.8269914263976764,1.0,0.9636363636363636
