omitted_judge,aggregation,doctor_model,n_trajectories,score_mean,rank,rank_spearman_vs_all_four_primary
DeepSeek-V4-Pro,median_of_remaining_three,DeepSeek-V3.2,120,0.7499995145132642,6.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,DeepSeek-V4-Pro,120,0.7916961969974474,2.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,Doubao-Seed-2.0-lite,120,0.6617794691419696,10.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,GLM-5,120,0.735851154262404,7.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,GPT-5.4,120,0.7837414210789213,4.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,GPT-5.6 Sol,120,0.8403930083805086,1.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,Kimi K2,120,0.700887115800866,8.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,MiniMax M3,120,0.7698492939005439,5.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,Qwen3-30B-A3B-Instruct-2507,120,0.678805748279498,9.0,0.9393939393939394
DeepSeek-V4-Pro,median_of_remaining_three,Qwen3.8-Max,120,0.7913640784215782,3.0,0.9393939393939394
GLM-5,median_of_remaining_three,DeepSeek-V3.2,120,0.732942022005772,7.0,0.9878787878787879
GLM-5,median_of_remaining_three,DeepSeek-V4-Pro,120,0.7708341952491948,3.0,0.9878787878787879
GLM-5,median_of_remaining_three,Doubao-Seed-2.0-lite,120,0.628652485014985,10.0,0.9878787878787879
GLM-5,median_of_remaining_three,GLM-5,120,0.7346647745310244,6.0,0.9878787878787879
GLM-5,median_of_remaining_three,GPT-5.4,120,0.7822527153402155,2.0,0.9878787878787879
GLM-5,median_of_remaining_three,GPT-5.6 Sol,120,0.8500751914751912,1.0,0.9878787878787879
GLM-5,median_of_remaining_three,Kimi K2,120,0.6867561265123765,8.0,0.9878787878787879
GLM-5,median_of_remaining_three,MiniMax M3,120,0.7442723605561106,5.0,0.9878787878787879
GLM-5,median_of_remaining_three,Qwen3-30B-A3B-Instruct-2507,120,0.6441559454434455,9.0,0.9878787878787879
GLM-5,median_of_remaining_three,Qwen3.8-Max,120,0.7525726878676877,4.0,0.9878787878787879
GPT-5.5,median_of_remaining_three,DeepSeek-V3.2,120,0.70222241022866,6.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,DeepSeek-V4-Pro,120,0.7527438159063157,3.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,Doubao-Seed-2.0-lite,120,0.6234327887390385,9.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,GLM-5,120,0.7164514910089909,5.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,GPT-5.4,120,0.7652131764069267,2.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,GPT-5.6 Sol,120,0.7879083257020756,1.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,Kimi K2,120,0.6577149690587194,8.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,MiniMax M3,120,0.6975669067044067,7.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,Qwen3-30B-A3B-Instruct-2507,120,0.5980026896714395,10.0,0.9636363636363636
GPT-5.5,median_of_remaining_three,Qwen3.8-Max,120,0.7306192238317241,4.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,DeepSeek-V3.2,120,0.768102724358974,7.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,DeepSeek-V4-Pro,120,0.8165472057109557,2.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,Doubao-Seed-2.0-lite,120,0.6907916104728605,9.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,GLM-5,120,0.7720133022533026,6.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,GPT-5.4,120,0.8127982538295039,4.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,GPT-5.6 Sol,120,0.819191418997669,1.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,Kimi K2,120,0.7300639514652015,8.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,MiniMax M3,120,0.7786766325341326,5.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,Qwen3-30B-A3B-Instruct-2507,120,0.659318127150627,10.0,0.9636363636363636
gpt-5.6-sol,median_of_remaining_three,Qwen3.8-Max,120,0.8156219474969478,3.0,0.9636363636363636
