analysis_family,configuration,aggregation,doctor_model,n_trajectories,score_mean,rank,rank_spearman_vs_primary
not_triggered_and_aggregation,authored_opportunity_zero,median,DeepSeek-V3.2,120,0.7383166677766677,7.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,DeepSeek-V4-Pro,120,0.7829553534659784,3.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,Doubao-Seed-2.0-lite,120,0.6511640883422133,9.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,GLM-5,120,0.7397451805139305,6.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,GPT-5.4,120,0.7860013916638916,2.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,GPT-5.6 Sol,120,0.8243919861388612,1.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,Kimi K2,120,0.6938555407092907,8.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,MiniMax M3,120,0.7475912984237983,5.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,Qwen3-30B-A3B-Instruct-2507,120,0.6450706276362527,10.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,median,Qwen3.8-Max,120,0.7725444844044844,4.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,DeepSeek-V3.2,120,0.6974933424908425,7.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,DeepSeek-V4-Pro,120,0.7523468719821845,3.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,Doubao-Seed-2.0-lite,120,0.6256546116036741,9.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,GLM-5,120,0.7161095049741925,6.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,GPT-5.4,120,0.7610778723013099,2.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,GPT-5.6 Sol,120,0.7960534847097347,1.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,Kimi K2,120,0.6683382222638472,8.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,MiniMax M3,120,0.7170722982572982,5.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,Qwen3-30B-A3B-Instruct-2507,120,0.6113707291319791,10.0,1.0
not_triggered_and_aggregation,authored_opportunity_zero,mean,Qwen3.8-Max,120,0.7329729431332556,4.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,DeepSeek-V3.2,120,0.7896850523781773,7.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,DeepSeek-V4-Pro,120,0.8283650620906872,3.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,Doubao-Seed-2.0-lite,120,0.7127256927100677,9.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,GLM-5,120,0.7909421824009324,6.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,GPT-5.4,120,0.8346114572927072,2.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,GPT-5.6 Sol,120,0.8663696362665113,1.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,Kimi K2,120,0.7534612912781662,8.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,MiniMax M3,120,0.7974421534021534,5.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,Qwen3-30B-A3B-Instruct-2507,120,0.7091232777639027,10.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,median,Qwen3.8-Max,120,0.822617707015207,4.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,DeepSeek-V3.2,120,0.7676291493922743,7.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,DeepSeek-V4-Pro,120,0.8058972157356532,3.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,Doubao-Seed-2.0-lite,120,0.7038090526487402,9.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,GLM-5,120,0.7753811760114886,6.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,GPT-5.4,120,0.8166193551240427,2.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,GPT-5.6 Sol,120,0.8492762775419025,1.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,Kimi K2,120,0.7379414627733377,8.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,MiniMax M3,120,0.779437029012654,5.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,Qwen3-30B-A3B-Instruct-2507,120,0.6981861255411256,10.0,1.0
not_triggered_and_aggregation,neutral_not_triggered,mean,Qwen3.8-Max,120,0.7968646763999889,4.0,1.0
not_triggered_and_aggregation,triggered_only,median,DeepSeek-V3.2,120,0.8415946457477708,5.0,0.9515151515151515
not_triggered_and_aggregation,triggered_only,median,DeepSeek-V4-Pro,120,0.8709528395909646,3.0,0.9515151515151515
not_triggered_and_aggregation,triggered_only,median,Doubao-Seed-2.0-lite,120,0.7434213615782366,10.0,0.9515151515151515
