case_id,n_models,mean_fcc,median_fcc,cross_model_fcc_sd,cross_model_fcc_range,mean_crwr,median_crwr,cross_model_crwr_sd,cross_model_crwr_range,mean_fcc_minus_crwr,mean_fcc_judge_sd,mean_crwr_judge_sd,mean_turns,max_turns,mean_workspace_turns,closed_success_n,open_at_100_n,runtime_error_n,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level,disease_domain,target_problem,starting_phase,secondary_frictions,tool_dependency,high_order_capability_domains
case_CL120_EHR_001,10,0.6386975,0.64715,0.1326691842,0.4405,0.516732375,0.4991275,0.1703419137,0.59846875,0.121965125,0.1848021219,0.2239717601,10.5,25,4.6,10,0,0,6,4,5,medium,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low,cardiovascular,chest_pain_acs_dissection,longitudinal_followup,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_002,10,0.7425,0.7854166667,0.1689715624,0.5958333333,0.5325625,0.4985416667,0.2691637489,0.8052083333,0.2099375,0.2130752399,0.2205482967,26.5,100,4.6,9,1,0,8,4,7,medium,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate,cardiovascular,heart_failure_decompensation,longitudinal_followup,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_003,10,0.7894230769,0.8026442308,0.121026719,0.3831730769,0.6182764423,0.5687379808,0.1968381097,0.6059134615,0.1711466346,0.1742961742,0.2142815016,12.5,30,3,9,0,1,8,4,7,medium,yes,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate,cardiovascular,atrial_fibrillation_anticoagulation,discharge_transition,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_004,10,0.5604857143,0.57125,0.1414753705,0.4543214286,0.4511,0.4258303571,0.1794970985,0.6201696429,0.1093857143,0.1658984053,0.2166329008,7,18,2.3,10,0,0,7,4,7,medium,maybe,True,3,5,5,1,moderate,2,high,0,low,1,moderate,2,high,6,moderate,dermatology_ent_ophthalmology,cataract_postoperative_medication_and_followup,discharge_transition,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_005,10,0.7701818182,0.7482954545,0.07120783514,0.2090909091,0.617625,0.6825284091,0.1794290448,0.6184375,0.1525568182,0.1243142466,0.1841273007,3.5,7,1,10,0,0,8,4,8,short,yes,False,3,5,5,2,high,2,high,0,low,0,low,1,moderate,5,moderate,cardiovascular,syncope,pre_handoff,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_006,10,0.9089903846,0.9288461538,0.05752300881,0.1889423077,0.8081826923,0.8769230769,0.1561107524,0.4039663462,0.1008076923,0.1224898739,0.2235745495,6.6,16,1.3,10,0,0,7,4,7,short,yes,False,3,5,5,1,moderate,2,high,0,low,0,low,1,moderate,4,moderate,cardiovascular,chest_pain_acs_dissection,pre_handoff,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_007,10,0.82,0.8375,0.1218748219,0.3666666667,0.5261458333,0.5571875,0.1730131822,0.6095833333,0.2938541667,0.1185910513,0.2755118711,7.7,14,4,10,0,0,8,4,7,medium,maybe,True,2,4,4,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,cardiovascular,heart_failure_decompensation,post_handoff,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_008,10,0.8533333333,0.8541666667,0.06812977812,0.2416666667,0.6202083333,0.554375,0.1608947422,0.449375,0.233125,0.1970879757,0.2649364673,26.6,69,5.5,10,0,0,8,4,6,medium,maybe,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate,cardiovascular,atrial_fibrillation_anticoagulation,post_handoff,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_009,10,0.8636384615,0.8988461538,0.1470790098,0.5397115385,0.7102658654,0.7424879808,0.1762065769,0.6510961538,0.1533725962,0.1675267059,0.2416272294,17.1,27,3.8,10,0,0,7,4,5,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,cardiovascular,hypertension_urgency,result_return,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_010,10,0.753125,0.7551136364,0.08492683789,0.3289772727,0.6518039773,0.7245738636,0.1461343861,0.4282386364,0.1013210227,0.1504232616,0.2605762926,14.3,20,3.9,9,0,1,8,4,7,medium,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,cardiovascular,syncope,result_return,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_011,10,0.790225,0.80975,0.1129313093,0.3725,0.690605625,0.72421875,0.1957193674,0.6869125,0.099619375,0.1830037607,0.2524154448,24.7,59,3.6,10,0,0,8,4,6,medium,yes,False,2,4,5,2,high,1,moderate,1,moderate,1,moderate,0,low,5,moderate,cardiovascular,chest_pain_acs_dissection,home_execution_failure,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_012,10,0.8916666667,0.88125,0.07269609496,0.2416666667,0.7062291667,0.7151041667,0.1637305822,0.50875,0.1854375,0.1307344099,0.2379507766,46.9,100,10.6,9,1,0,8,4,7,medium,maybe,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,cardiovascular,heart_failure_decompensation,longitudinal_followup,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_013,10,0.7889477273,0.7934318182,0.1216701913,0.4071590909,0.6404238636,0.64296875,0.2198843213,0.6131988636,0.1485238636,0.1670381086,0.2651346047,8.9,26,3,10,0,0,8,4,6,medium,maybe,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate,cardiovascular,atrial_fibrillation_anticoagulation,longitudinal_followup,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_014,10,0.704025,0.711625,0.1283246104,0.501,0.58654375,0.5896875,0.2034124062,0.7571,0.11748125,0.1292984426,0.1911809104,9.7,13,3.2,10,0,0,7,4,8,medium,yes,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,cardiovascular,hypertension_urgency,discharge_transition,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_015,10,0.7402840909,0.734375,0.1297634355,0.4443181818,0.6138636364,0.7022727273,0.2580961075,0.7581818182,0.1264204545,0.1672639943,0.218375765,19,30,4.7,10,0,0,8,4,7,long,maybe,True,3,5,5,2,high,2,high,2,high,2,high,2,high,10,high,respiratory,suspected_pulmonary_embolism_result_and_anticoagulation_followup,result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_016,10,0.791,0.8,0.07224264668,0.2925,0.6126625,0.64625,0.1428368065,0.4165,0.1783375,0.1766541456,0.2217213482,4.3,6,1.3,10,0,0,7,4,7,long,maybe,False,3,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high,respiratory,pneumonia,pre_handoff,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_017,10,0.8441783333,0.83985,0.05818491693,0.1816666667,0.7826358333,0.8058333333,0.0997586397,0.2875,0.0615425,0.1589808463,0.2421740306,45.8,73,8.2,10,0,0,7,4,7,long,maybe,True,2,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high,respiratory,lung_nodule_mass,post_handoff,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_018,10,0.7848477273,0.8256136364,0.1405575435,0.5170909091,0.5716528409,0.6049090909,0.2090194637,0.7099375,0.2131948864,0.2029211152,0.2424690484,17.7,39,5.3,10,0,0,7,4,6,extra_long,no,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high,respiratory,pulmonary_embolism,post_handoff,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_019,10,0.783,0.80875,0.09928997935,0.2825,0.672125,0.68375,0.1365395318,0.495375,0.110875,0.171811065,0.2725195808,12.1,26,5.7,10,0,0,8,4,7,medium,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate,respiratory,home_oxygen_or_inhaler_execution,post_handoff,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_020,10,0.4676318182,0.4541363636,0.06421984516,0.1981818182,0.3213668182,0.3126448864,0.0711539015,0.2218636364,0.146265,0.1427466114,0.1824600998,7.1,35,2.5,10,0,0,8,4,6,medium,yes,True,2,5,4,2,high,1,moderate,0,low,1,moderate,1,moderate,5,moderate,respiratory,asthma_copd_exacerbation,result_return,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_021,10,0.723125,0.6897727273,0.1244785223,0.3823863636,0.5463267045,0.5076704545,0.1851701386,0.6163920455,0.1767982955,0.2127631639,0.281002685,70,100,13.3,5,5,0,7,4,6,medium,yes,True,2,5,5,1,moderate,1,moderate,0,low,1,moderate,1,moderate,4,moderate,respiratory,pneumonia,result_return,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_022,10,0.65125,0.6104166667,0.1202290927,0.3375,0.3661458333,0.2969791667,0.1887680099,0.6583333333,0.2851041667,0.1782593726,0.2145503016,7.3,11,3.5,10,0,0,8,4,7,medium,yes,False,2,5,5,2,high,2,high,0,low,1,moderate,0,low,5,moderate,respiratory,lung_nodule_mass,home_execution_failure,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_023,10,0.7884134615,0.7764423077,0.1668107743,0.5942307692,0.4346875,0.4804447115,0.1504980318,0.5131490385,0.3537259615,0.1576581095,0.2631574298,14.4,27,2.4,10,0,0,8,4,7,medium,maybe,True,2,5,5,2,high,2,high,0,low,1,moderate,1,moderate,6,moderate,respiratory,pulmonary_embolism,longitudinal_followup,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
