predictor,predictor_label,outcome,outcome_label,n_cases,spearman_rho,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_unit,bootstrap_replicates
responsibility_chain_burden_score,Responsibility-chain breadth,mean_fcc,case_mean_FCC,120,0.07376592193,-0.1057297117,0.2574590885,case,10000
responsibility_chain_burden_score,Responsibility-chain breadth,mean_crwr,case_mean_C_RWR,120,0.007018912028,-0.1699202659,0.1880821713,case,10000
responsibility_chain_burden_score,Responsibility-chain breadth,mean_turns,case_mean_turns,120,0.1027072691,-0.06834758076,0.2691500208,case,10000
responsibility_chain_burden_score,Responsibility-chain breadth,cross_model_fcc_sd,cross_model_FCC_SD,120,-0.06845309939,-0.2584665199,0.1243873502,case,10000
evidence_integration_burden_score,Evidence integration,mean_fcc,case_mean_FCC,120,0.02778094148,-0.1506357576,0.2094533952,case,10000
evidence_integration_burden_score,Evidence integration,mean_crwr,case_mean_C_RWR,120,-0.1286355336,-0.3056905074,0.05466794758,case,10000
evidence_integration_burden_score,Evidence integration,mean_turns,case_mean_turns,120,0.04089818031,-0.1414402205,0.2289957039,case,10000
evidence_integration_burden_score,Evidence integration,cross_model_fcc_sd,cross_model_FCC_SD,120,-0.004616417575,-0.1792191533,0.1687131807,case,10000
friction_burden_score,Friction exposure,mean_fcc,case_mean_FCC,120,0.1263736106,-0.05738621611,0.3050206286,case,10000
friction_burden_score,Friction exposure,mean_crwr,case_mean_C_RWR,120,0.1264722866,-0.0517600521,0.2994441195,case,10000
friction_burden_score,Friction exposure,mean_turns,case_mean_turns,120,0.287605721,0.1195894289,0.44258381,case,10000
friction_burden_score,Friction exposure,cross_model_fcc_sd,cross_model_FCC_SD,120,0.03810412189,-0.1347906907,0.2012833542,case,10000
temporal_burden_score,Temporal demand,mean_fcc,case_mean_FCC,120,0.0318546727,-0.1471441812,0.2173738726,case,10000
temporal_burden_score,Temporal demand,mean_crwr,case_mean_C_RWR,120,0.06281648449,-0.1162684103,0.239375471,case,10000
temporal_burden_score,Temporal demand,mean_turns,case_mean_turns,120,0.3366022559,0.1693762486,0.4871477682,case,10000
temporal_burden_score,Temporal demand,cross_model_fcc_sd,cross_model_FCC_SD,120,0.0928342819,-0.09824995181,0.2681791558,case,10000
closure_coordination_burden_score,Closure coordination,mean_fcc,case_mean_FCC,120,-0.04676653625,-0.2143629531,0.1286504003,case,10000
closure_coordination_burden_score,Closure coordination,mean_crwr,case_mean_C_RWR,120,-0.03505606438,-0.208667998,0.1460903196,case,10000
closure_coordination_burden_score,Closure coordination,mean_turns,case_mean_turns,120,0.02348861286,-0.157013715,0.2015970642,case,10000
closure_coordination_burden_score,Closure coordination,cross_model_fcc_sd,cross_model_FCC_SD,120,0.1419130122,-0.03959942652,0.3130633605,case,10000
contract_complexity_index,Exploratory aggregate index,mean_fcc,case_mean_FCC,120,0.09885251853,-0.08974324955,0.2891094908,case,10000
contract_complexity_index,Exploratory aggregate index,mean_crwr,case_mean_C_RWR,120,-0.004680283708,-0.1823737988,0.1738108239,case,10000
contract_complexity_index,Exploratory aggregate index,mean_turns,case_mean_turns,120,0.2427183622,0.0613914551,0.4078168865,case,10000
contract_complexity_index,Exploratory aggregate index,cross_model_fcc_sd,cross_model_FCC_SD,120,0.05130717027,-0.1292294718,0.2290902471,case,10000
