doctor_model,n_trajectories,mean_fcc,median_fcc,mean_crwr,median_crwr,mean_fcc_minus_crwr,mean_fcc_judge_sd,mean_crwr_judge_sd,closed_success_rate,open_at_100_rate,runtime_error_rate,mean_turns,mean_workspace_turns,mean_domain_information_repair,n_domain_information_repair,mean_domain_constraint_navigation,n_domain_constraint_navigation,mean_domain_dynamic_reprioritization,n_domain_dynamic_reprioritization,mean_domain_execution_loop_repair,n_domain_execution_loop_repair,mean_domain_state_sensitive_communication,n_domain_state_sensitive_communication,mean_domain_bounded_closure_continuity,n_domain_bounded_closure_continuity,fcc_rank,crwr_rank
GPT-5.6 Sol,120,0.8243919861,0.8488095238,0.7526077865,0.8045454545,0.07178419967,0.1398354088,0.1730177621,0.9,0.08333333333,0.01666666667,22.28333333,2.325,0.7515873016,105,0.9087078652,89,0.776953125,48,0.8553571429,42,0.9177631579,38,0.9050288462,52,1,1
GPT-5.4,120,0.7860013917,0.8202380952,0.6799629817,0.6954315476,0.1060384099,0.1573608445,0.2174185614,0.9333333333,0.05833333333,0.008333333333,23.10833333,1.241666667,0.7108730159,105,0.8879213483,89,0.7630208333,48,0.7720238095,42,0.8891447368,38,0.8621923077,52,2,2
DeepSeek-V4-Pro,120,0.7829553535,0.8221875,0.6207721714,0.6177142857,0.162183182,0.1616236897,0.2442002064,0.9333333333,0.05,0.01666666667,24.4,10.60833333,0.689047619,105,0.8884831461,89,0.6583333333,48,0.7970238095,42,0.8848684211,38,0.8690576923,52,3,3
Qwen3.8-Max,120,0.7725444844,0.7981923077,0.6188294076,0.6265160985,0.1537150768,0.1890718573,0.258678427,0.9083333333,0.06666666667,0.025,24.48333333,3.658333333,0.683015873,105,0.891011236,89,0.685546875,48,0.7577380952,42,0.9184210526,38,0.8495192308,52,4,4
MiniMax M3,120,0.7475912984,0.79915,0.5861180385,0.6107572115,0.1614732599,0.1840389774,0.2446647171,0.75,0.06666666667,0.1833333333,22.575,2.008333333,0.678015873,105,0.8634831461,89,0.680078125,48,0.7303571429,42,0.9065789474,38,0.7866490385,52,5,6
GLM-5,120,0.7397451805,0.7604166667,0.5984558812,0.60390625,0.1412892993,0.1603102099,0.2307021575,0.975,0.008333333333,0.01666666667,17.11666667,7.416666667,0.6301587302,105,0.8632022472,89,0.649609375,48,0.7869047619,42,0.8217105263,38,0.8112596154,52,6,5
DeepSeek-V3.2,120,0.7383166678,0.7752840909,0.5681658783,0.5876231061,0.1701507895,0.1844106521,0.2414269692,0.9333333333,0.05833333333,0.008333333333,23.96666667,8.425,0.6267460317,105,0.866011236,89,0.6221354167,48,0.755952381,42,0.8773026316,38,0.7816298077,52,7,7
Kimi K2,120,0.6938555407,0.7416666667,0.5097956881,0.5190985577,0.1840598526,0.1807110086,0.237562461,0.9666666667,0.025,0.008333333333,19.64166667,3.525,0.5967460317,105,0.8393258427,89,0.6200520833,48,0.6964285714,42,0.7733552632,38,0.7534230769,52,8,8
Doubao-Seed-2.0-lite,120,0.6511640883,0.6801071429,0.4705211126,0.4721168155,0.1806429757,0.1837868675,0.2313651344,0.975,0.01666666667,0.008333333333,17.30833333,1.783333333,0.5233333333,105,0.7676966292,89,0.5587239583,48,0.7113095238,42,0.7786184211,38,0.7050576923,52,9,9
Qwen3-30B-A3B-Instruct-2507,120,0.6450706276,0.6591666667,0.4502329965,0.4296278409,0.1948376312,0.2069337221,0.2300700084,0.9416666667,0.03333333333,0.025,20.98333333,8.516666667,0.536031746,105,0.7469101124,89,0.55625,48,0.6571428571,42,0.7480263158,38,0.6893028846,52,10,10
