packet_id,case_id,doctor_model,terminal_status,turns_completed,workspace_turn_count,primary_friction,friction_intensity,friction_capability_composite_median4,careloop_real_world_robustness_median4,fcc_minus_crwr,clinical_error_gate_median4,fcc_judge_sd,fcc_judge_range,crwr_judge_sd,crwr_judge_range,ordinal_grade_median4,domain_information_repair_median4,domain_constraint_navigation_median4,domain_dynamic_reprioritization_median4,domain_execution_loop_repair_median4,domain_state_sensitive_communication_median4,domain_bounded_closure_continuity_median4,review_order_low_crwr,review_order_large_safety_gap,review_order_high_judge_dispersion
case_CL120_EHR_060__anon_cbe555dc85b32e72,case_CL120_EHR_060,Kimi K2,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0,0,0,0.35,0.01515544457,0.035,0.005304405598,0.01225,1,0,0,,,0,,1,1105,1191
case_CL120_EHR_060__anon_dd3b549cc044b183,case_CL120_EHR_060,DeepSeek-V3.2,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.0675,0.023625,0.043875,0.35,0.07284401142,0.155,0.025495404,0.05425,1,0.125,0.025,,,0.0375,,2,946,1042
case_CL120_EHR_060__anon_f517fa3fc71c83f7,case_CL120_EHR_060,Doubao-Seed-2.0-lite,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.0925,0.032375,0.060125,0.35,0.02358495283,0.055,0.02458435732,0.06325,1,0.1,0.075,,,0.1125,,3,917,1184
case_CL120_EHR_105__anon_e878a94b323763c1,case_CL120_EHR_105,Kimi K2,closed_success,4,1,delayed_or_staged_result_return,light,0.1053571429,0.036875,0.06848214286,0.35,0.139568722,0.3466785714,0.1049914299,0.2600089286,1,0.2,,0.05625,0,,0.16875,4,887,697
case_CL120_EHR_028__anon_3d5ecf9278905fbc,case_CL120_EHR_028,Doubao-Seed-2.0-lite,closed_success,33,2,misstated_family_or_patient_information,moderate,0.1130952381,0.03958333333,0.07351190476,0.35,0.1348605141,0.3023809524,0.04720117995,0.1058333333,1,0.06666666667,,0.175,,,,5,872,719
case_CL120_EHR_060__anon_049ce660080c1a5f,case_CL120_EHR_060,Qwen3-30B-A3B-Instruct-2507,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.135,0.04725,0.08775,0.35,0.1268549861,0.335,0.04439924514,0.11725,1,0.2,0.1,,,0.075,,6,813,764
case_CL120_EHR_048__anon_54ba6deba376961f,case_CL120_EHR_048,MiniMax M3,runtime_error,2,1,misstated_family_or_patient_information,moderate,0.1840909091,0.06443181818,0.1196590909,0.35,0.116451979,0.2465909091,0.04075819264,0.08630681818,1,0.2,0.25,0.09375,,,,7,602,810
case_CL120_EHR_075__anon_a094e2439151e4d5,case_CL120_EHR_075,Qwen3-30B-A3B-Instruct-2507,closed_success,7,7,delayed_or_staged_result_return,moderate,0.20625,0.0721875,0.1340625,0.35,0.1280930149,0.3225,0.04483255522,0.112875,1,0.2,,0,0.2,,0.3625,8,548,757
case_CL120_EHR_060__anon_ef4010395380a436,case_CL120_EHR_060,DeepSeek-V4-Pro,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.15,0.0745,0.0755,0.35,0.09031195934,0.24,0.03094980816,0.084,1,0.2,0.1,,,0.1125,,9,867,950
case_CL120_EHR_028__anon_21a29381e739182e,case_CL120_EHR_028,Qwen3-30B-A3B-Instruct-2507,closed_success,25,14,misstated_family_or_patient_information,moderate,0.1672619048,0.07958333333,0.08767857143,0.35,0.1077245289,0.3023809524,0.06726461093,0.1821428571,1,0.2083333333,,0.1125,,,,10,814,866
case_CL120_EHR_060__anon_570b62ddf4f683ed,case_CL120_EHR_060,GLM-5,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.1975,0.084,0.1135,0.35,0.04839615171,0.12,0.01462166094,0.03975,1,0.225,0.175,,,0.15,,11,643,1132
case_CL120_EHR_028__anon_95f8814f5ed6f7ec,case_CL120_EHR_028,GLM-5,closed_success,17,7,misstated_family_or_patient_information,moderate,0.243452381,0.08520833333,0.1582440476,0.35,0.1554656475,0.3946428571,0.1467236676,0.3569345238,1,0.4,,0.09375,,,,12,485,610
case_CL120_EHR_085__anon_18577c10ab84e6d7,case_CL120_EHR_085,DeepSeek-V3.2,open_at_100,100,39,delayed_or_staged_result_return,heavy,0.175125,0.09187946429,0.08324553571,0.55,0.3280954854,0.8553571429,0.2545582534,0.6415178571,1.5,0.075,,0.15,0.15,,0.36725,13,840,81
case_CL120_EHR_090__anon_9f9302feb277d6f8,case_CL120_EHR_090,Qwen3-30B-A3B-Instruct-2507,closed_success,14,12,privacy_stigma_or_sensitive_history,light,0.2732142857,0.095625,0.1775892857,0.35,0.1775214668,0.4142857143,0.06213251338,0.145,1,0.025,0.3,,0.45,0.1125,,14,432,512
case_CL120_EHR_085__anon_04f4025537bd9436,case_CL120_EHR_085,Qwen3-30B-A3B-Instruct-2507,closed_success,7,4,delayed_or_staged_result_return,heavy,0.2883392857,0.10091875,0.1874205357,0.35,0.2715398697,0.7241071429,0.2120898968,0.5430803571,1,0.275,,0.23125,0.35,,0.281,15,413,224
case_CL120_EHR_054__anon_ac5a39ee38b6aa57,case_CL120_EHR_054,Doubao-Seed-2.0-lite,closed_success,4,2,document_or_image_quality_problem,light,0.3022727273,0.1057954545,0.1964772727,0.35,0.1738042085,0.4818181818,0.1960480633,0.5054545455,1,0.15,0.575,0.075,,,,16,395,525
case_CL120_EHR_058__anon_bc762a43941aa4e1,case_CL120_EHR_058,Doubao-Seed-2.0-lite,closed_success,3,2,misstated_family_or_patient_information,moderate,0.1916666667,0.1070833333,0.08458333333,0.35,0.1890560433,0.525,0.07210583404,0.18375,1,0.2083333333,0.175,,,,,17,832,472
case_CL120_EHR_044__anon_b127ab98643850bb,case_CL120_EHR_044,Doubao-Seed-2.0-lite,closed_success,33,2,document_or_image_quality_problem,moderate,0.3125,0.109375,0.203125,0.35,0.3479291415,0.8833333333,0.2693791691,0.6725,1,0.25,0.375,,,,,18,375,54
case_CL120_EHR_108__anon_241eb2ded072a1f1,case_CL120_EHR_108,Kimi K2,closed_success,4,2,misstated_family_or_patient_information,light,0.218452381,0.109672619,0.1087797619,0.35,0.1696851451,0.4678571429,0.06046202189,0.16375,1,0.1666666667,,0.2875,,,,19,678,545
case_CL120_EHR_004__anon_eb62752c671ce77f,case_CL120_EHR_004,Kimi K2,closed_success,7,2,document_or_image_quality_problem,light,0.3148214286,0.1101875,0.2046339286,0.35,0.1420271368,0.3710714286,0.2198066016,0.5250982143,1,0.1,0.55,0.325,,,0.37375,20,372,682
case_CL120_EHR_060__anon_dd2b4f029ade327f,case_CL120_EHR_060,GPT-5.4,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.2225,0.11525,0.10725,0.55,0.09071762508,0.25,0.02772993362,0.06975,1.5,0.15,0.225,,,0.3625,,21,693,947
case_CL120_EHR_056__anon_b7ae899f7a300d52,case_CL120_EHR_056,MiniMax M3,runtime_error,2,2,low_adherence_or_refusal,light,0.2560681818,0.1180329545,0.1380352273,0.35,0.1363538117,0.3105454545,0.04253907606,0.1086909091,1,0.325,0.25,,,,0.17225,22,535,712
case_CL120_EHR_117__anon_97183b454391d93e,case_CL120_EHR_117,Qwen3-30B-A3B-Instruct-2507,closed_success,15,9,external_system_gap,moderate,0.3486071429,0.1220125,0.2265946429,0.35,0.2148293023,0.5007857143,0.07519025582,0.175275,1,,0.4,0.175,0.2,,0.4185,23,322,393
case_CL120_EHR_116__anon_2c4a584488a386e3,case_CL120_EHR_116,Qwen3-30B-A3B-Instruct-2507,closed_success,14,4,low_adherence_or_refusal,moderate,0.3575,0.125125,0.232375,0.35,0.3344211417,0.845,0.1170473996,0.29575,1,0.05,0.575,,,0.5375,,24,303,70
case_CL120_EHR_032__anon_dce1051cfda0a099,case_CL120_EHR_032,Kimi K2,closed_success,60,7,medication_confusion_or_execution_failure,moderate,0.3625,0.126875,0.235625,0.35,0.2545676482,0.6833333333,0.08909867686,0.2391666667,1,0.1,0.625,,,,,25,288,273
case_CL120_EHR_060__anon_75ea467ff07ae16d,case_CL120_EHR_060,Qwen3.8-Max,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.17,0.1275,0.0425,0.75,0.03416412592,0.095,0.04366254652,0.11525,2,0.15,0.2,,,0.15,,26,949,1170
case_CL120_EHR_043__anon_cb84bb4f1e8060f8,case_CL120_EHR_043,MiniMax M3,runtime_error,3,1,caregiver_conflict_or_fatigue,moderate,0.3666666667,0.1283333333,0.2383333333,0.35,0.2787310033,0.7833333333,0.3185048077,0.805,1,0.3,0.45,,0.35,,,27,276,204
case_CL120_EHR_051__anon_3d24538bff81f6da,case_CL120_EHR_051,MiniMax M3,runtime_error,3,2,incomplete_patient_information,heavy,0.2876,0.1323175,0.1552825,0.35,0.1322887443,0.337,0.05415052786,0.141575,1,0.2,,0.30625,,,0.38575,28,493,735
case_CL120_EHR_065__anon_1f7950edfd465bd3,case_CL120_EHR_065,Kimi K2,closed_success,7,3,delayed_or_staged_result_return,moderate,0.3916666667,0.1370833333,0.2545833333,0.35,0.2473470347,0.6833333333,0.08657146213,0.2391666667,1,0.45,0.375,,0.35,,,29,247,297
case_CL120_EHR_014__anon_609dfb9bc9f404a1,case_CL120_EHR_014,DeepSeek-V3.2,closed_success,7,5,document_or_image_quality_problem,moderate,0.394,0.1379,0.2561,0.35,0.09490494834,0.23375,0.1359796505,0.3548125,1,0.2,,0.36875,,,0.51125,30,243,931
case_CL120_EHR_060__anon_a2d4e913b4367afa,case_CL120_EHR_060,GPT-5.6 Sol,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.185,0.13875,0.04625,0.75,0.1027131929,0.25,0.09053383345,0.2395,2,0.15,0.15,,,0.325,,31,945,892
case_CL120_EHR_060__anon_3a38f2c4992e96bb,case_CL120_EHR_060,MiniMax M3,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.205,0.13925,0.06575,0.55,0.1344897766,0.34,0.03777751481,0.086,1.5,0.15,0.2,,,0.3625,,32,898,722
case_CL120_EHR_117__anon_b9dd1084f01938a5,case_CL120_EHR_117,Kimi K2,closed_success,11,2,external_system_gap,moderate,0.4008928571,0.1403125,0.2605803571,0.35,0.2703083527,0.6946428571,0.09460792345,0.243125,1,,0.575,0.25,0.35,,0.3875,33,235,228
case_CL120_EHR_120__anon_61d87000e3fab8c5,case_CL120_EHR_120,MiniMax M3,runtime_error,3,3,privacy_stigma_or_sensitive_history,heavy,0.2428571429,0.1421428571,0.1007142857,0.55,0.1783659532,0.4857142857,0.1539004211,0.3942857143,1.5,0.05,0.45,,0.1,0.5,,34,734,506
case_CL120_EHR_111__anon_b7909670f1476bda,case_CL120_EHR_111,GPT-5.6 Sol,closed_success,3,2,incomplete_patient_information,moderate,0.37575,0.143675,0.232075,0.55,0.1263261528,0.338,0.1244957672,0.305125,1.5,0.45,,0.13125,,,0.445,35,305,769
case_CL120_EHR_088__anon_ef75c242473762d8,case_CL120_EHR_088,Kimi K2,closed_success,4,4,misstated_family_or_patient_information,light,0.4169642857,0.1459375,0.2710267857,0.35,0.208197394,0.5476190476,0.2041174282,0.5476190476,1,0.425,,0.325,,,,36,211,409
case_CL120_EHR_091__anon_4a854f5902720812,case_CL120_EHR_091,Doubao-Seed-2.0-lite,closed_success,11,1,incomplete_patient_information,light,0.417,0.14595,0.27105,0.35,0.2309662025,0.64425,0.2547552044,0.6642375,1,0.625,,0.05625,,,0.41875,37,210,348
case_CL120_EHR_113__anon_985b7f4495f33b76,case_CL120_EHR_113,Qwen3-30B-A3B-Instruct-2507,closed_success,16,12,caregiver_conflict_or_fatigue,moderate,0.4211538462,0.1474038462,0.27375,0.35,0.3771658363,0.8865384615,0.1320080427,0.3102884615,1,0.3,0.5,,,0.5,0.425,38,206,26
case_CL120_EHR_093__anon_97f1474b9821aea5,case_CL120_EHR_093,Qwen3.8-Max,closed_success,3,2,caregiver_conflict_or_fatigue,moderate,0.4173076923,0.1493990385,0.2679086538,0.55,0.2324364206,0.6167307692,0.2760557297,0.6615384615,1.5,0.125,0.55,,,0.7125,0.4,39,220,346
case_CL120_EHR_039__anon_2a3f81fa24817eaa,case_CL120_EHR_039,Qwen3-30B-A3B-Instruct-2507,closed_success,11,7,cost_transport_or_work_barrier,light,0.4293653846,0.1502778846,0.2790875,0.35,0.2158331325,0.5519230769,0.1654634074,0.44125,1,,0.25,,0.35,0.75,0.32725,40,191,391
case_CL120_EHR_023__anon_81e7570d71a8b909,case_CL120_EHR_023,Doubao-Seed-2.0-lite,closed_success,7,2,caregiver_conflict_or_fatigue,light,0.3884615385,0.1515865385,0.236875,0.55,0.1546672798,0.4192307692,0.1398410347,0.3456730769,1.5,0.125,0.55,0.35,,0.4,,41,281,614
case_CL120_EHR_032__anon_34a6086c151862d4,case_CL120_EHR_032,Doubao-Seed-2.0-lite,closed_success,25,2,medication_confusion_or_execution_failure,moderate,0.4375,0.153125,0.284375,0.35,0.3268311129,0.85,0.2670807942,0.6775,1,0.275,0.6,,,,,42,183,86
