metric_scope,judge_a,judge_b,n,metric,value
judge_calibration,DeepSeek-V4-Pro,,1200,mean_score,3.381666666666667
judge_calibration,DeepSeek-V4-Pro,,1200,strong_score_rate_ge_4,0.5308333333333334
judge_calibration,GLM-5,,1200,mean_score,4.299166666666666
judge_calibration,GLM-5,,1200,strong_score_rate_ge_4,0.8291666666666667
judge_calibration,GPT-5.5,,1200,mean_score,2.81
judge_calibration,GPT-5.5,,1200,strong_score_rate_ge_4,0.3933333333333333
judge_calibration,gpt-5.6-sol,,1200,mean_score,1.64
judge_calibration,gpt-5.6-sol,,1200,strong_score_rate_ge_4,0.08
judge_pair,DeepSeek-V4-Pro,GLM-5,1200,exact_agreement,0.37416666666666665
judge_pair,DeepSeek-V4-Pro,GLM-5,1200,within_one_agreement,0.5875
judge_pair,DeepSeek-V4-Pro,GLM-5,1200,spearman_rho,0.16062900022706061
judge_pair,DeepSeek-V4-Pro,GPT-5.5,1200,exact_agreement,0.33666666666666667
judge_pair,DeepSeek-V4-Pro,GPT-5.5,1200,within_one_agreement,0.5475
judge_pair,DeepSeek-V4-Pro,GPT-5.5,1200,spearman_rho,0.16517038097683182
judge_pair,DeepSeek-V4-Pro,gpt-5.6-sol,1200,exact_agreement,0.25666666666666665
judge_pair,DeepSeek-V4-Pro,gpt-5.6-sol,1200,within_one_agreement,0.46
judge_pair,DeepSeek-V4-Pro,gpt-5.6-sol,1200,spearman_rho,0.15421395999734
judge_pair,GLM-5,GPT-5.5,1200,exact_agreement,0.2875
judge_pair,GLM-5,GPT-5.5,1200,within_one_agreement,0.4791666666666667
judge_pair,GLM-5,GPT-5.5,1200,spearman_rho,0.17255114029958715
judge_pair,GLM-5,gpt-5.6-sol,1200,exact_agreement,0.09833333333333333
judge_pair,GLM-5,gpt-5.6-sol,1200,within_one_agreement,0.21416666666666667
judge_pair,GLM-5,gpt-5.6-sol,1200,spearman_rho,0.09017465496786922
judge_pair,GPT-5.5,gpt-5.6-sol,1200,exact_agreement,0.5025
judge_pair,GPT-5.5,gpt-5.6-sol,1200,within_one_agreement,0.685
judge_pair,GPT-5.5,gpt-5.6-sol,1200,spearman_rho,0.40898472577913486
all_judges,,,1200,ICC_A_1,0.10740029338992427
all_judges,,,1200,ICC_A_4,0.3249136950389381
