doctor_model,mean_primary_score,primary_score_population_sd,strong_or_above_rate,open_at_100_rate,runtime_error_rate,very_low_score_rate,closed_but_low_score_rate,high_judge_disagreement_rate,long_or_tool_intensive_low_score_rate,mean_workspace_turns,workspace_underuse_candidate_rate,workspace_overuse_candidate_rate
DeepSeek-V3.2,2.8875,1.1076674064597791,0.18333333333333332,0.058333333333333334,0.008333333333333333,0.425,0.525,0.925,0.375,8.425,0.041666666666666664,0.375
DeepSeek-V4-Pro,3.0708333333333333,1.1784450088522964,0.26666666666666666,0.05,0.016666666666666666,0.35833333333333334,0.5166666666666667,0.9416666666666667,0.39166666666666666,10.608333333333333,0.016666666666666666,0.39166666666666666
Doubao-Seed-2.0-lite,2.4208333333333334,1.0448202264291957,0.08333333333333333,0.016666666666666666,0.008333333333333333,0.6,0.7833333333333333,0.8833333333333333,0.05,1.7833333333333334,0.325,0
GLM-5,3.1041666666666665,1.1490862916054458,0.25833333333333336,0.008333333333333333,0.016666666666666666,0.36666666666666664,0.5,0.9416666666666667,0.3416666666666667,7.416666666666667,0.008333333333333333,0.3416666666666667
GPT-5.4,3.575,1.0461237976453839,0.39166666666666666,0.058333333333333334,0.008333333333333333,0.225,0.3416666666666667,0.875,0.06666666666666667,1.2416666666666667,0.375,0
GPT-5.6 Sol,3.9166666666666665,1.0998737301264279,0.6166666666666667,0.08333333333333333,0.016666666666666666,0.16666666666666666,0.21666666666666667,0.65,0.05,2.325,0.11666666666666667,0.025
Kimi K2,2.625,1.2386989141837494,0.15,0.025,0.008333333333333333,0.5333333333333333,0.675,0.8333333333333334,0.10833333333333334,3.525,0.18333333333333332,0.10833333333333334
MiniMax M3,2.9375,1.1265036247907356,0.20833333333333334,0.06666666666666667,0.18333333333333332,0.43333333333333335,0.4083333333333333,0.9166666666666666,0.11666666666666667,2.0083333333333333,0.35833333333333334,0.008333333333333333
Qwen3-30B-A3B-Instruct-2507,2.3833333333333333,1.1469767022723503,0.11666666666666667,0.03333333333333333,0.025,0.6416666666666667,0.7,0.85,0.5,8.516666666666667,0.041666666666666664,0.5
Qwen3.8-Max,3.0708333333333333,1.105470927805079,0.24166666666666667,0.06666666666666667,0.025,0.375,0.525,0.9416666666666667,0.175,3.658333333333333,0.08333333333333333,0.09166666666666666
