doctor_model,public_model_slug,n_trajectories,primary_score_mean,primary_score_median,bootstrap_ci_lower,bootstrap_ci_upper,mean_turns_all_records,closed_success,open_at_100,runtime_error,primary_rank
GPT-5.6 Sol,GPT-5.6-Sol,120,3.9166666666666665,4.0,3.720833333333333,4.108333333333333,22.283333333333335,108,10,2,1.0
GPT-5.4,GPT-5.4,120,3.575,3.5,3.3875,3.7583333333333333,23.108333333333334,112,7,1,2.0
GLM-5,GLM-5,120,3.1041666666666665,3.0,2.9,3.308333333333333,17.116666666666667,117,1,2,3.0
DeepSeek-V4-Pro,DeepSeek-V4-Pro,120,3.0708333333333333,3.0,2.8625,3.279166666666667,24.4,112,6,2,4.5
Qwen3.8-Max,Qwen3.8-Max,120,3.0708333333333333,3.0,2.870833333333333,3.2708333333333335,24.483333333333334,109,8,3,4.5
MiniMax M3,MiniMax-M3,120,2.9375,3.0,2.7333333333333334,3.1375,22.575,90,8,22,6.0
DeepSeek-V3.2,DeepSeek-V3.2,120,2.8875,3.0,2.691666666666667,3.091666666666667,23.966666666666665,112,7,1,7.0
Kimi K2,Kimi-K2,120,2.625,2.5,2.404166666666667,2.845833333333333,19.641666666666666,116,3,1,8.0
Doubao-Seed-2.0-lite,Doubao-Seed-2.0-lite,120,2.4208333333333334,2.0,2.2416666666666667,2.6083333333333334,17.308333333333334,117,2,1,9.0
Qwen3-30B-A3B-Instruct-2507,Qwen3-30B-A3B-Instruct-2507,120,2.3833333333333333,2.0,2.183333333333333,2.591666666666667,20.983333333333334,113,4,3,10.0
