strategy,doctor_model,score,rank,kendall_tau_b_vs_primary,spearman_rho_vs_primary
primary_median4_all_trajectories,DeepSeek-V3.2,2.8875,7.0,1.0,1.0
primary_median4_all_trajectories,DeepSeek-V4-Pro,3.0708333333333333,4.5,1.0,1.0
primary_median4_all_trajectories,Doubao-Seed-2.0-lite,2.4208333333333334,9.0,1.0,1.0
primary_median4_all_trajectories,GLM-5,3.1041666666666665,3.0,1.0,1.0
primary_median4_all_trajectories,GPT-5.4,3.575,2.0,1.0,1.0
primary_median4_all_trajectories,GPT-5.6 Sol,3.9166666666666665,1.0,1.0,1.0
primary_median4_all_trajectories,Kimi K2,2.625,8.0,1.0,1.0
primary_median4_all_trajectories,MiniMax M3,2.9375,6.0,1.0,1.0
primary_median4_all_trajectories,Qwen3-30B-A3B-Instruct-2507,2.3833333333333333,10.0,1.0,1.0
primary_median4_all_trajectories,Qwen3.8-Max,3.0708333333333333,4.5,1.0,1.0
mean4_all_trajectories,DeepSeek-V3.2,2.95,6.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,DeepSeek-V4-Pro,3.0770833333333334,5.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,Doubao-Seed-2.0-lite,2.64375,9.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,GLM-5,3.089583333333333,3.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,GPT-5.4,3.4583333333333335,2.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,GPT-5.6 Sol,3.80625,1.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,Kimi K2,2.716666666666667,8.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,MiniMax M3,2.9291666666666667,7.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,Qwen3-30B-A3B-Instruct-2507,2.575,10.0,0.9438798074485389,0.9848069807617046
mean4_all_trajectories,Qwen3.8-Max,3.08125,4.0,0.9438798074485389,0.9848069807617046
closed_success_only,DeepSeek-V3.2,2.9285714285714284,7.0,0.8090398349558905,0.9057792600832962
closed_success_only,DeepSeek-V4-Pro,3.1339285714285716,4.0,0.8090398349558905,0.9057792600832962
closed_success_only,Doubao-Seed-2.0-lite,2.4188034188034186,9.0,0.8090398349558905,0.9057792600832962
closed_success_only,GLM-5,3.1324786324786325,5.0,0.8090398349558905,0.9057792600832962
closed_success_only,GPT-5.4,3.5982142857142856,2.0,0.8090398349558905,0.9057792600832962
closed_success_only,GPT-5.6 Sol,3.9768518518518516,1.0,0.8090398349558905,0.9057792600832962
closed_success_only,Kimi K2,2.6508620689655173,8.0,0.8090398349558905,0.9057792600832962
closed_success_only,MiniMax M3,3.172222222222222,3.0,0.8090398349558905,0.9057792600832962
closed_success_only,Qwen3-30B-A3B-Instruct-2507,2.398230088495575,10.0,0.8090398349558905,0.9057792600832962
