doctor_model,n_trajectories,mean_primary_score,median_primary_score,mean_turns,median_turns,mean_workspace_turns,median_workspace_turns,mean_workspace_entries,workspace_turns_per_10_turns_mean,no_workspace_n,sparse_workspace_n,heavy_workspace_n,workspace_underuse_candidate_n,workspace_overuse_candidate_n,no_workspace_rate,sparse_workspace_rate,heavy_workspace_rate,workspace_underuse_candidate_rate,workspace_overuse_candidate_rate
DeepSeek-V3.2,120,2.8875,3.0,23.966666666666665,14.5,8.425,6.0,19.266666666666666,4.338394870811748,0,5,61,5,45,0,0.041666666666666664,0.5083333333333333,0.041666666666666664,0.375
DeepSeek-V4-Pro,120,3.0708333333333333,3.0,24.4,13.0,10.608333333333333,6.5,27.908333333333335,5.04023414592753,0,2,70,2,47,0,0.016666666666666666,0.5833333333333334,0.016666666666666666,0.39166666666666666
Doubao-Seed-2.0-lite,120,2.4208333333333334,2.0,17.308333333333334,11.0,1.7833333333333334,2.0,4.841666666666667,1.7813654951599007,1,44,0,39,0,0.008333333333333333,0.36666666666666664,0,0.325,0
GLM-5,120,3.1041666666666665,3.0,17.116666666666667,11.0,7.416666666666667,6.0,18.791666666666668,5.460970293316305,0,1,61,1,41,0,0.008333333333333333,0.5083333333333333,0.008333333333333333,0.3416666666666667
GPT-5.4,120,3.575,3.5,23.108333333333334,12.5,1.2416666666666667,1.0,1.55,1.3053851590966785,27,75,0,45,0,0.225,0.625,0,0.375,0
GPT-5.6 Sol,120,3.9166666666666665,4.0,22.283333333333335,11.0,2.325,2.0,3.8666666666666667,2.2570710915672643,14,39,6,14,3,0.11666666666666667,0.325,0.05,0.11666666666666667,0.025
Kimi K2,120,2.625,2.5,19.641666666666666,12.0,3.525,2.0,8.366666666666667,2.3772748645455453,1,24,16,22,13,0.008333333333333333,0.2,0.13333333333333333,0.18333333333333332,0.10833333333333334
MiniMax M3,120,2.9375,3.0,22.575,14.0,2.0083333333333333,2.0,3.558333333333333,1.815814981518691,6,54,2,43,1,0.05,0.45,0.016666666666666666,0.35833333333333334,0.008333333333333333
Qwen3-30B-A3B-Instruct-2507,120,2.3833333333333333,2.0,20.983333333333334,14.0,8.516666666666667,6.0,29.308333333333334,4.942409087015395,0,5,70,5,60,0,0.041666666666666664,0.5833333333333334,0.041666666666666664,0.5
Qwen3.8-Max,120,3.0708333333333333,3.0,24.483333333333334,13.0,3.658333333333333,3.5,9.383333333333333,3.074868906445579,1,13,14,10,11,0.008333333333333333,0.10833333333333334,0.11666666666666667,0.08333333333333333,0.09166666666666666
