metric	comparison	n_models	spearman_rho
FCC	GPT-5.5	10	0.9030303030303028
FCC	GPT-5.6-Sol	10	0.9515151515151514
FCC	DeepSeek-V4-Pro	10	0.8909090909090909
FCC	GLM-5	10	0.8545454545454544
FCC	Four-judge median	10	0.9878787878787878
C_RWR	GPT-5.5	10	0.9515151515151514
C_RWR	GPT-5.6-Sol	10	0.9151515151515152
C_RWR	DeepSeek-V4-Pro	10	0.8787878787878788
C_RWR	GLM-5	10	0.8303030303030302
C_RWR	Four-judge median	10	0.9636363636363635
information_repair	GPT-5.5	10	0.9030303030303028
information_repair	GPT-5.6-Sol	10	0.9393939393939393
information_repair	DeepSeek-V4-Pro	10	0.8909090909090909
information_repair	GLM-5	10	0.7696969696969697
information_repair	Four-judge median	10	0.9515151515151514
constraint_navigation	GPT-5.5	10	0.8909090909090909
constraint_navigation	GPT-5.6-Sol	10	0.9636363636363635
constraint_navigation	DeepSeek-V4-Pro	10	0.7818181818181817
constraint_navigation	GLM-5	10	0.6848484848484848
constraint_navigation	Four-judge median	10	0.9393939393939393
dynamic_reprioritization	GPT-5.5	10	0.8909090909090909
dynamic_reprioritization	GPT-5.6-Sol	10	0.8909090909090909
dynamic_reprioritization	DeepSeek-V4-Pro	10	0.7939393939393938
dynamic_reprioritization	GLM-5	10	0.5393939393939393
dynamic_reprioritization	Four-judge median	10	0.9757575757575757
execution_loop_repair	GPT-5.5	10	0.709090909090909
execution_loop_repair	GPT-5.6-Sol	10	0.8303030303030302
execution_loop_repair	DeepSeek-V4-Pro	10	0.4424242424242424
execution_loop_repair	GLM-5	10	0.6565379871744698
execution_loop_repair	Four-judge median	10	0.9272727272727272
state_sensitive_communication	GPT-5.5	10	0.8424242424242423
state_sensitive_communication	GPT-5.6-Sol	10	0.9151515151515152
state_sensitive_communication	DeepSeek-V4-Pro	10	0.7818181818181817
state_sensitive_communication	GLM-5	10	0.6969696969696969
state_sensitive_communication	Four-judge median	10	0.9030303030303028
bounded_closure_continuity	GPT-5.5	10	0.8424242424242423
bounded_closure_continuity	GPT-5.6-Sol	10	0.9151515151515152
bounded_closure_continuity	DeepSeek-V4-Pro	10	0.7818181818181817
bounded_closure_continuity	GLM-5	10	0.6727272727272726
bounded_closure_continuity	Four-judge median	10	0.9515151515151514
