metric	comparison	n_cases_total	n_cases_defined	mean_rho	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	median_panel_cluster_bootstrap_ci_low	median_panel_cluster_bootstrap_ci_high	q1_rho	q3_rho	rho_ge_0_5_rate	rho_ge_0_7_rate	negative_rho_rate	top1_overlap_rate	mean_tie_aware_top3_overlap_fraction
FCC	GPT-5.5	120	120	0.6098740215863975	0.6325033078231275	0.5802911380316339	0.6930123197952737	0.5781011873484612	0.6930123197952737	0.4882431630586309	0.8065792619939657	0.7166666666666667	0.4083333333333333	0.025	0.675	0.6025628306878306
FCC	GPT-5.6-Sol	120	120	0.5900552535862654	0.6312531731770514	0.5945121951219512	0.686933264358473	0.5920902862458068	0.687009252551432	0.4615454947363585	0.7526946481680797	0.7	0.375	0.008333333333333333	0.5083333333333333	0.6087962962962963
FCC	DeepSeek-V4-Pro	120	119	0.21130704698728375	0.24924127290882647	0.1745572096355137	0.32218993815043423	0.16257940386498781	0.3292744139923163	-0.01715174901597985	0.46915311373413643	0.20168067226890757	0.025210084033613446	0.25210084033613445	0.375	0.3833531746031746
FCC	GLM-5	120	120	0.22895055647944348	0.2571942118375227	0.19571956962109072	0.3200378765462651	0.19571956962109072	0.3200378765462651	0.0110754049294547	0.4831837974315836	0.225	0.09166666666666666	0.23333333333333334	0.3	0.37622354497354504
FCC	Four-judge median	120	120	0.5497613799688795	0.5796734488452189	0.5212121212121212	0.6485086020566985	0.5212121212121212	0.6484848484848483	0.41818181818181815	0.7363636363636362	0.6083333333333333	0.325	0.016666666666666666	0.4083333333333333	0.5671296296296297
C_RWR	GPT-5.5	120	120	0.6281475854009619	0.6768800674862523	0.6189034039399006	0.7316073173924452	0.6189034039399006	0.737818594316116	0.49791051241570616	0.7882044061491906	0.75	0.4666666666666667	0.0	0.6	0.6046957671957671
C_RWR	GPT-5.6-Sol	120	120	0.6335961456238828	0.6626170426112704	0.6282320948348457	0.6990913752320743	0.6319494127140443	0.6990913752320743	0.5302134562933796	0.7824049884495323	0.775	0.4083333333333333	0.016666666666666666	0.625	0.6467592592592591
C_RWR	DeepSeek-V4-Pro	120	119	0.2131037790157505	0.27609440361293197	0.21260383582344564	0.3513061029379257	0.2121212121212121	0.3513061029379257	-0.03070587099334466	0.4620288248337029	0.19327731092436976	0.06722689075630252	0.2689075630252101	0.31666666666666665	0.37423280423280425
C_RWR	GLM-5	120	120	0.20740490738159723	0.24273239921160322	0.1365677299233467	0.3025210128521264	0.12974982402692048	0.30318992962734365	-0.03280040923207571	0.46169687167858553	0.24166666666666667	0.075	0.26666666666666666	0.26666666666666666	0.3452314814814815
C_RWR	Four-judge median	120	120	0.5842050925926829	0.6100133779006383	0.5744694815387668	0.6787878787878787	0.5757575757575757	0.6787878787878787	0.46747741595776493	0.7696969696969697	0.6916666666666667	0.375	0.03333333333333333	0.38333333333333336	0.5944444444444444
information_repair	GPT-5.5	120	104	0.6047187818002958	0.6290375390097639	0.5616668694708846	0.6987712429686842	0.5616668694708846	0.6987712429686842	0.45189075747460833	0.7775658591546228	0.7211538461538461	0.40384615384615385	0.0	0.780952380952381	0.5590967498110355
information_repair	GPT-5.6-Sol	120	105	0.5783244439178159	0.6051613903096722	0.5460533760344654	0.6811178153698756	0.5553080926288471	0.677908151710035	0.447213595499958	0.7877855422677295	0.6571428571428571	0.3619047619047619	0.0380952380952381	0.6666666666666666	0.6008641975308642
information_repair	DeepSeek-V4-Pro	120	104	0.2114323767727026	0.20508229793583574	0.1466813415813201	0.2850790207006606	0.14475515980921277	0.2915374826220205	0.01919139250746077	0.4596153856411294	0.22115384615384615	0.0673076923076923	0.23076923076923078	0.5238095238095238	0.3705668934240363
information_repair	GLM-5	120	105	0.1883154434206226	0.19325517063098147	0.1149327675765355	0.3114644458202268	0.1149327675765355	0.3152441624956403	-0.0820683520668451	0.4499080432563521	0.18095238095238095	0.0761904761904762	0.3238095238095238	0.44761904761904764	0.35632149155958676
information_repair	Four-judge median	120	105	0.512681070774455	0.5565983479249934	0.509326594874952	0.603658536585366	0.502276860773898	0.603658536585366	0.32718542889017654	0.6893123494842632	0.6	0.23809523809523808	0.01904761904761905	0.49523809523809526	0.534320987654321
constraint_navigation	GPT-5.5	120	80	0.5727204115558953	0.5930566018190694	0.5459058939351292	0.687386354243376	0.5459058939351292	0.6893244529576268	0.45895420404765647	0.7753915382974643	0.6625	0.3625	0.0375	0.9550561797752809	0.4387025518696867
constraint_navigation	GPT-5.6-Sol	120	89	0.49651184527094183	0.5319148936170213	0.4537510159016277	0.6489631863479584	0.4537510159016277	0.656520747491659	0.32903910598397457	0.757282445662753	0.5393258426966292	0.3258426966292135	0.0898876404494382	0.9325842696629213	0.458814279769336
constraint_navigation	DeepSeek-V4-Pro	120	89	0.2006162336448855	0.19314735468320038	0.14968340312323633	0.27281379174721904	0.14968340312323633	0.27281379174721904	-0.014617633655117155	0.4159056855305167	0.15730337078651685	0.07865168539325842	0.25842696629213485	0.8651685393258427	0.36239865983846714
constraint_navigation	GLM-5	120	83	0.2699006021315507	0.24840764331210197	0.13749298523071757	0.36470593176786514	0.13749298523071757	0.36470593176786514	0.0628767658702137	0.48353993255992633	0.24096385542168675	0.13253012048192772	0.1686746987951807	0.9213483146067416	0.35585245802440824
