clinical_domain_code	n_cases	n_physicians	resident_physicians	attending_physicians	associate_chief_or_chief_physicians	n_reviews
cardiovascular	13	12	5	5	2	650
dermatology_ent_ophthalmology	4	16	7	7	2	200
endocrine_metabolic	12	9	4	3	2	600
gastro_hepatology	10	10	5	3	2	500
infectious_disease	8	7	3	3	1	400
mental_health_somatic	5	8	4	2	2	250
musculoskeletal_geriatrics	8	11	4	5	2	400
neurology	10	9	5	3	1	500
obstetrics_gynecology	8	12	5	5	2	400
oncology_hematology	10	12	5	5	2	500
pediatrics	8	8	3	3	2	400
renal_urology	11	11	5	4	2	550
respiratory	13	14	9	3	2	650
