metric	comparison_group	pair_count_per_case	n_cases_total	n_cases_defined	mean_rho	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	q1_rho	q3_rho	rho_ge_0_5_rate	rho_ge_0_7_rate	negative_rho_rate	median_difference_from_physician_internal	difference_bootstrap_ci_low	difference_bootstrap_ci_high	n_cases_for_difference
FCC	Physician title strata	3	120	120	0.3066097528231003	0.30582909457741353	0.250932930669947	0.35757575757575755	0.13798025944785808	0.49392325424005246	0.24166666666666667	0.075	0.10833333333333334				
FCC	GPT-5.5	3	120	120	0.5401877617859128	0.5449040024830304	0.5065828341441831	0.579279061653149	0.4223722704396829	0.6724692359198219	0.6083333333333333	0.20833333333333334	0.008333333333333333	0.2547981240775675	0.19159837478206773	0.2956177557446177	120
FCC	GPT-5.6-Sol	3	120	120	0.49594073566974745	0.515935613639785	0.4617831695845206	0.5735943934084182	0.34802390845840836	0.63470066518847	0.525	0.14166666666666666	0.016666666666666666	0.17082512506054914	0.13212589317617535	0.22473886219771996	120
FCC	DeepSeek-V4-Pro	3	120	119	0.18713278270498732	0.21399716244394978	0.1621872800336506	0.26911440822899974	0.009146771032499891	0.3808537111036032	0.10084033613445378	0.008403361344537815	0.23529411764705882	-0.10223361009706433	-0.17437108619302627	-0.03636363636363636	119
FCC	GLM-5	3	120	120	0.18850521544076743	0.20750801407103484	0.15117934073826744	0.31184065357442725	-0.02946257594807507	0.4217702765644879	0.11666666666666667	0.025	0.25833333333333336	-0.05489974344359949	-0.14557446639981025	0.005295148214948087	120
C_RWR	Physician title strata	3	120	120	0.2996665261350324	0.32121212121212117	0.23636363636363633	0.3497644672498491	0.1296744748310663	0.5098922672428607	0.26666666666666666	0.06666666666666667	0.13333333333333333				
C_RWR	GPT-5.5	3	120	120	0.5385766905873617	0.5467282736592267	0.5053389683675036	0.58537673598634	0.4311183923330202	0.6813895021928962	0.6	0.25	0.0	0.2316988902046696	0.17195727831144259	0.2712710810947261	120
C_RWR	GPT-5.6-Sol	3	120	120	0.5206519919395646	0.5205598523912423	0.4924034903808523	0.5592731001856595	0.43030303030303024	0.6200636545536659	0.5416666666666666	0.15	0.0	0.18270654895875274	0.13981827504641486	0.23200278017568937	120
C_RWR	DeepSeek-V4-Pro	3	120	119	0.19837792750606228	0.21260383582344564	0.17792750455055614	0.27010903029242184	0.006116552762294765	0.3919702721433666	0.11764705882352941	0.01680672268907563	0.23529411764705882	-0.11753858312595467	-0.16643593786618308	-0.04255338805760456	119
C_RWR	GLM-5	3	120	120	0.19030937117203048	0.22482831371654563	0.13846891311773207	0.30476592685019027	0.0076265776042144726	0.4071104849202032	0.125	0.008333333333333333	0.25	-0.09547666328922749	-0.17150905765957009	-0.037291866462492634	120
information_repair	Physician title strata	3	120	105	0.28612690104605254	0.26622262412632747	0.2049780624787955	0.35385507575015274	0.05214822064645532	0.5061444945097133	0.2761904761904762	0.09523809523809523	0.21904761904761905				
information_repair	GPT-5.5	3	120	104	0.5118096030968373	0.5224538928425095	0.46619243982126307	0.5779322586904584	0.36404420974754115	0.662783870364494	0.5576923076923077	0.18269230769230768	0.0	0.20591954667241738	0.1523249666379789	0.2583926833549768	104
information_repair	GPT-5.6-Sol	3	120	105	0.45407620164801965	0.446883728283056	0.38880835439585154	0.5030769521187454	0.31077070187662686	0.6526978790401731	0.4095238095238095	0.17142857142857143	0.02857142857142857	0.15253781059867788	0.10290640828602349	0.19683974943861574	105
information_repair	DeepSeek-V4-Pro	3	120	104	0.19706365974763476	0.19459009611185968	0.12568039565331474	0.23920802801903726	0.05239826331759518	0.39226692228193777	0.1346153846153846	0.009615384615384616	0.19230769230769232	-0.05216793242308814	-0.11774274069075324	0.05869946034472642	104
information_repair	GLM-5	3	120	105	0.16297562473068117	0.20883378709612915	0.11119664700608159	0.24770769902665385	-0.03416742281359181	0.36778485624491364	0.10476190476190476	0.009523809523809525	0.3047619047619048	-0.08698234324123792	-0.12133275126046944	0.019022090284973175	105
constraint_navigation	Physician title strata	3	120	89	0.3039562489614752	0.2887532287757612	0.212308697321656	0.36711802056782916	0.1017485171203803	0.5085916559073457	0.25842696629213485	0.0449438202247191	0.07865168539325842				
constraint_navigation	GPT-5.5	3	120	80	0.4948875840264956	0.5353813024910399	0.48349377841522817	0.5797213274999455	0.3483713785465734	0.6866514432985771	0.6	0.225	0.0375	0.19654782010305516	0.12561973156368567	0.23192509483530835	80
constraint_navigation	GPT-5.6-Sol	3	120	89	0.4206839667992617	0.45662457245823607	0.39893398188854423	0.5303300858899106	0.2600930839779865	0.6165812304904387	0.42696629213483145	0.11235955056179775	0.07865168539325842	0.12833391158031748	0.06647387793670406	0.18968016352580896	89
constraint_navigation	DeepSeek-V4-Pro	3	120	89	0.16503859683424185	0.17016042528708217	0.10591951708433571	0.2524712297555993	0.007813453848974923	0.3213270196889446	0.06741573033707865	0.033707865168539325	0.23595505617977527	-0.11621765060063766	-0.17710918756864663	-0.03628199902016188	89
constraint_navigation	GLM-5	3	120	83	0.21677324747228158	0.24343224778007383	0.16025399127347054	0.31180478223116176	0.05281553695004776	0.3992649570462955	0.14457831325301204	0.03614457831325301	0.21686746987951808	-0.0772559026936433	-0.17169914706325673	0.03514891071929428	83
dynamic_reprioritization	Physician title strata	3	120	48	0.2736265177828993	0.2512224364189963	0.15466727889520807	0.34371936709727513	0.08304473938428096	0.5025465676028552	0.25	0.0625	0.1875				
