metric	comparison	n_cases_defined	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	median_panel_cluster_bootstrap_ci_low	median_panel_cluster_bootstrap_ci_high
FCC	GPT-5.5	120	0.6325033078231275	0.5802911380316339	0.6930123197952737	0.5781011873484612	0.6930123197952737
FCC	GPT-5.6-Sol	120	0.6312531731770514	0.5945121951219512	0.686933264358473	0.5920902862458068	0.687009252551432
FCC	DeepSeek-V4-Pro	119	0.24924127290882647	0.1745572096355137	0.32218993815043423	0.16257940386498781	0.3292744139923163
FCC	GLM-5	120	0.2571942118375227	0.19571956962109072	0.3200378765462651	0.19571956962109072	0.3200378765462651
FCC	Four-judge median	120	0.5796734488452189	0.5212121212121212	0.6485086020566985	0.5212121212121212	0.6484848484848483
C_RWR	GPT-5.5	120	0.6768800674862523	0.6189034039399006	0.7316073173924452	0.6189034039399006	0.737818594316116
C_RWR	GPT-5.6-Sol	120	0.6626170426112704	0.6282320948348457	0.6990913752320743	0.6319494127140443	0.6990913752320743
C_RWR	DeepSeek-V4-Pro	119	0.27609440361293197	0.21260383582344564	0.3513061029379257	0.2121212121212121	0.3513061029379257
C_RWR	GLM-5	120	0.24273239921160322	0.1365677299233467	0.3025210128521264	0.12974982402692048	0.30318992962734365
C_RWR	Four-judge median	120	0.6100133779006383	0.5744694815387668	0.6787878787878787	0.5757575757575757	0.6787878787878787
