case_id	clinical_domain_code	clinical_domain	reviewer_id	physician_title_group	n_tested_models	n_trajectory_assessments
case_CL120_EHR_001	cardiovascular	Cardiovascular	PHY-14498DCF8C	Resident physician	10	10
case_CL120_EHR_001	cardiovascular	Cardiovascular	PHY-266ADBE973	Resident physician	10	10
case_CL120_EHR_001	cardiovascular	Cardiovascular	PHY-2488899DB8	Attending physician	10	10
case_CL120_EHR_001	cardiovascular	Cardiovascular	PHY-3D3448CABA	Attending physician	10	10
case_CL120_EHR_001	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_002	cardiovascular	Cardiovascular	PHY-14498DCF8C	Resident physician	10	10
case_CL120_EHR_002	cardiovascular	Cardiovascular	PHY-5856B8C3FE	Resident physician	10	10
case_CL120_EHR_002	cardiovascular	Cardiovascular	PHY-2488899DB8	Attending physician	10	10
case_CL120_EHR_002	cardiovascular	Cardiovascular	PHY-8EF81AFB15	Attending physician	10	10
case_CL120_EHR_002	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_003	cardiovascular	Cardiovascular	PHY-7B18D30F5C	Resident physician	10	10
case_CL120_EHR_003	cardiovascular	Cardiovascular	PHY-D7BC4A231B	Resident physician	10	10
case_CL120_EHR_003	cardiovascular	Cardiovascular	PHY-BF915F9AD6	Attending physician	10	10
case_CL120_EHR_003	cardiovascular	Cardiovascular	PHY-FC68058C84	Attending physician	10	10
case_CL120_EHR_003	cardiovascular	Cardiovascular	PHY-D975BD5359	Associate-chief/chief physician	10	10
case_CL120_EHR_004	dermatology_ent_ophthalmology	Dermatology, ENT, and ophthalmology	PHY-137E04705B	Resident physician	10	10
case_CL120_EHR_004	dermatology_ent_ophthalmology	Dermatology, ENT, and ophthalmology	PHY-55BCDE2E0B	Resident physician	10	10
case_CL120_EHR_004	dermatology_ent_ophthalmology	Dermatology, ENT, and ophthalmology	PHY-027349F852	Attending physician	10	10
case_CL120_EHR_004	dermatology_ent_ophthalmology	Dermatology, ENT, and ophthalmology	PHY-1AC9D47DAF	Attending physician	10	10
case_CL120_EHR_004	dermatology_ent_ophthalmology	Dermatology, ENT, and ophthalmology	PHY-93C002C7BC	Associate-chief/chief physician	10	10
case_CL120_EHR_005	cardiovascular	Cardiovascular	PHY-14498DCF8C	Resident physician	10	10
case_CL120_EHR_005	cardiovascular	Cardiovascular	PHY-7B18D30F5C	Resident physician	10	10
case_CL120_EHR_005	cardiovascular	Cardiovascular	PHY-2488899DB8	Attending physician	10	10
case_CL120_EHR_005	cardiovascular	Cardiovascular	PHY-BF915F9AD6	Attending physician	10	10
case_CL120_EHR_005	cardiovascular	Cardiovascular	PHY-A2FB7FC18D	Associate-chief/chief physician	10	10
case_CL120_EHR_006	cardiovascular	Cardiovascular	PHY-266ADBE973	Resident physician	10	10
