metric	physician_title_group	n_cases_total	n_cases_defined	mean_rho	median_rho	median_case_bootstrap_ci_low	median_case_bootstrap_ci_high	q1_rho	q3_rho	rho_ge_0_5_rate	rho_ge_0_7_rate	negative_rho_rate
FCC	Resident physician	120	120	0.24621126206416885	0.2787878787878788	0.17629342202512935	0.34545454545454546	0.01865765526979334	0.47620959771751625	0.24166666666666667	0.058333333333333334	0.225
FCC	Attending physician	120	120	0.12687080065097436	0.18298457102129045	0.06116465361813115	0.2606060606060606	-0.12395799418203877	0.40152487061928416	0.14166666666666666	0.05	0.375
C_RWR	Resident physician	120	120	0.28049290313046704	0.3219391792581283	0.24316221747202585	0.3939834406851562	0.11364032063126991	0.5272727272727272	0.275	0.09166666666666666	0.18333333333333332
C_RWR	Attending physician	120	120	0.17408337530388712	0.20036702650114718	0.11110468518619152	0.3014922234234243	-0.07467856880122536	0.42817320601832337	0.2	0.075	0.3
information_repair	Resident physician	120	105	0.2604325500351203	0.254663297437476	0.15170933016428392	0.38563203021932324	0.054497257574658106	0.5171565421071075	0.2857142857142857	0.08571428571428572	0.21904761904761905
information_repair	Attending physician	120	105	0.14625162054496973	0.14660391231478406	0.05128310493983757	0.25155764746872633	-0.12377915829073319	0.4210111746323401	0.19047619047619047	0.047619047619047616	0.3523809523809524
constraint_navigation	Resident physician	120	85	0.29651717705665803	0.32612688823813446	0.20780973338645245	0.4360491817317043	0.042350894134546735	0.563436169819011	0.35294117647058826	0.16470588235294117	0.23529411764705882
constraint_navigation	Attending physician	120	89	0.1337819030897023	0.15132888984074686	0.04777942419727739	0.23870495801314429	-0.17364617826851989	0.44464864589994385	0.21348314606741572	0.06741573033707865	0.3595505617977528
dynamic_reprioritization	Resident physician	120	48	0.25121255759374556	0.3013224513176144	0.1457944780931198	0.39003753288449405	0.06516672158789936	0.46506163280703416	0.22916666666666666	0.08333333333333333	0.22916666666666666
dynamic_reprioritization	Attending physician	120	48	0.18202164032511334	0.20614197309596935	0.09259435671465448	0.3520412462198198	-0.044565017937855375	0.49878108818635636	0.25	0.10416666666666667	0.2916666666666667
execution_loop_repair	Resident physician	120	42	0.12718741310552936	0.0979275556155027	0.026412583152386947	0.15261803038015526	-0.05643262987012986	0.2858576427180524	0.16666666666666666	0.023809523809523808	0.30952380952380953
execution_loop_repair	Attending physician	120	42	0.10061154656596932	0.14171089354454192	-0.004846954084075204	0.35852901200282794	-0.17896412959669483	0.3904106801737102	0.09523809523809523	0.023809523809523808	0.38095238095238093
state_sensitive_communication	Resident physician	120	35	0.27696532133790586	0.35239693446375	0.12155415958157881	0.47517730496453897	-0.05555555555555555	0.5209431428342086	0.2857142857142857	0.2	0.2571428571428571
state_sensitive_communication	Attending physician	120	38	0.06587235976158727	0.05009024373130382	-0.21417646843905966	0.2587843101707994	-0.23906218179510969	0.36746923873113846	0.15789473684210525	0.07894736842105263	0.4473684210526316
bounded_closure_continuity	Resident physician	120	52	0.22896346309231572	0.24505761907623175	0.1548471618492236	0.3285352819510855	0.1117318399508387	0.4009072124450337	0.1346153846153846	0.019230769230769232	0.15384615384615385
bounded_closure_continuity	Attending physician	120	52	0.20174324272924057	0.29645513607589447	0.15082526880087402	0.3683558779971584	-0.02102359251690088	0.5662053924007023	0.2692307692307692	0.019230769230769232	0.2692307692307692
